"","covariates","anc","ancad","endo","endad","N","anc.juv","endo.juv","juv","anc.bm","ancad.bm","endo.bm","endad.bm","N.bm","anc.juv.bm","endo.juv.bm","juv.bm","SR","H"
"(Intercept)","(Intercept)","0.669400642237828","0.415157350003163","1.06484807247356","0.337229891905839","1.73197062156144","-3.97499627540865","0.33235466944757","0.68169127726089","1.67927999038551","1.73560454036893","0.575902360359244","0.443357955584613","1.77132942804878","0.232747754698459","0.243340897652586","0.550133321160949","1.23882811215743","0.259411244317599"
"age_class.L","age_class.L","2.18454492082097","1.94865680878488","1.91024457666798","2.24502063741449","2.24628941687562","9.17941041374951","1.77955651949993","2.12125836159157","1.60684205759468","1.5804664458153","1.12103332598897","0.930715350096211","1.88506302299636",NA,"0.0463933595344239","0.338335890212856","1.83386962106291","0.16242705545093"
"age_class.Q","age_class.Q","-0.768083703535433","-0.672453748384288","-1.16147058030381","-1.14744693518426","-0.882545112265173","4.50931499763318","-0.804484259626322","-0.749496047413993","-0.278733134393606","-0.156901315415368","-0.166647166273844","-0.116133800700923","-0.450717794589754",NA,"0.0146458308951958","0.0310248033879264","0.0186403189568541","-0.0367293684396826"
"age_class.C","age_class.C","-0.196054509812293","0.319779464060691","-0.816079521703449","-0.686545256899525","-0.493393924663632","-11.8157249263831","-0.650404437305219","-0.794761385101863","0.198627201192011","0.208966159063405","-0.60826216816813","-0.486698855511681","-0.134893600636895",NA,"-0.00619703350778776","-0.052953168827627","0.0905456335135232","-0.000904201386616483"
"age_class^4","age_class^4","0.70992966361213","0.0375672714698521","0.978256676118303","0.11783518524089","0.976433679275583","10.538585407667","2.20722489696198","2.17439079593321","0.0109061360830855","-0.00410439514867176","-0.0466732161962513","-0.163646438601193","-0.153471015522453",NA,"0.060673702179674","0.14264414377281","0.132985831872573","0.0372863581592062"
"samcam2","samcam2","0.841154700176935","-0.136836604950307","0.748800778096307","1.01767061094976","0.715938908630982","4.86924078750229","0.446714717950479","0.878732125772326","0.0371766270976105",NA,"0.728206668816384","0.699571207834498","0.532603410649062","-0.0132924951754843","-0.0391724973675904",NA,"1.3814178709016",NA
"samcam3","samcam3","0.303380180666629","0.492107794683585","0.784554321892138","0.579347586276985","0.739557956162959","-0.215976382290234","1.14434846493427","0.961320955417302","0.00347450636976884",NA,"0.536506933614372","0.449607528759988","0.340022636964862","-0.149842011309857","0.246720935909448",NA,"0.482885551938857",NA
"scl.mc","scl.mc","0.0170036027049986",NA,"0.498188198969813","0.23886386832101","0.401872511588418","0.448740376242352","0.855441406206512","0.626276111855596","0.00932664122704175",NA,"0.15179334022709","0.0252815495069948",NA,"0.013305880501708","0.0803881809112622","0.196795696618115","0.0896863574839204","0.00593051088393217"
"I(scl.mc^2)","I(scl.mc^2)",NA,NA,"-0.0768662830304103","0.0186920165124252","-0.0957516967336335",NA,"-0.320892632531378","-0.284695740649855",NA,NA,"0.0638283788406627","0.0976768326909605","0.00597299777730431",NA,NA,NA,"0.344222534755847",NA
"scl.cn","scl.cn","-0.031282748390289","-0.0309538670609549","0.0228678910785504","-0.0319255038787711","-0.00334313782589063","-0.000124659912048762","0.0674375714448466","0.0862950260403305","-0.000735478939473964",NA,NA,NA,NA,NA,NA,NA,"-0.00724508187560608",NA
