;X2.5..;X97.5..
(Intercept);0.236075215;1.05479137
age_class.L;1.122995009;2.863443027
age_class.Q;-1.693091355;-0.037117784
age_class.C;-1.025254421;0.551458206
age_class^4;-0.002941414;1.407879861
samcam2;0.445269392;1.264612736
samcam3;-0.058517071;0.673333481
I(scl.ats1^2);-0.53737804;-0.128215958
scl.prec1;0.056352569;0.391906243
age_class.L:samcam2;-1.427722904;0.732941393
age_class.Q:samcam2;-0.835041903;1.049973058
age_class.C:samcam2;0.17101621;1.610923351
age_class^4:samcam2;-1.548127677;-0.522282528
age_class.L:samcam3;-0.886134209;1.140821345
age_class.Q:samcam3;-1.055664626;0.695406397
age_class.C:samcam3;-0.148054584;1.279935975
age_class^4:samcam3;-1.164929502;-0.132890867
