;anc.avgmod2.d4.coef.shrinkage
(Intercept);1.341149925
;
age_class.L;2.141654067
age_class.Q;-0.801798918
age_class.C;-0.196874627
age_class^4;0.692221096
;
samcam2;0.85680621
samcam3;0.315725665
;
;
;
;
;
scl.cn;-0.032563892
scl.pH;0.007496902
scl.clay;-0.101907964
;
scl.ats1;-4.02E-05
I(scl.ats1^2);-0.340686669
scl.prec1;0.204665972
;
age_class.L:samcam2;-0.394579124
age_class.Q:samcam2;0.123896798
age_class.C:samcam2;0.868410807
age_class^4:samcam2;-1.013070412
;
age_class.L:samcam3;0.092346921
age_class.Q:samcam3;-0.147755863
age_class.C:samcam3;0.544828578
age_class^4:samcam3;-0.626848951
