;"""df""";"""logLik""";"""AICc""";"""delta""";"""weight""";;;;;
1/2/4/8/9;18;-347.5784299;735.4053071;0;0.137465322;;;;;
1/2/4/5/8/9;19;-346.750751;736.2515021;0.846194992;0.090041816;;;;;
1/2/4/6/8/9;19;-347.0934152;736.9368305;1.531523384;0.063918574;;;;;
1/2/4/7/8/9;19;-347.5334049;737.8168097;2.411502643;0.041166316;;;;;
1/2/3/4/8/9;19;-347.5747866;737.8995732;2.494266181;0.039497548;;;;;
1/2/4/5/7/8/9;20;-346.560828;738.4046749;2.999367877;0.030682355;;;;;
1/2/4/5/6/8/9;20;-346.6199985;738.5230158;3.117708768;0.028919534;;;;;
1/2/3/4/5/8/9;20;-346.7428631;738.768745;3.363437921;0.025575957;;;;;
1/2/4/5/9;18;-349.3698925;738.9882322;3.582925089;0.022917691;;;;;
1/2/4/6/7/8/9;20;-346.9980822;739.2791833;3.873876242;0.019814888;;;;;
;;;;;;;;;;
;;;;;;;;;;
;age_class;samcam;scl.ats1;I(scl.ats1^2);scl.clay;scl.cn;scl.pH;scl.prec1;age_class:samcam;offset(log(area))
;1;2;3;4;5;6;7;8;9;10
;;;;;;;;;;
age_class;1;;;;;;;;;
samcam;2;;;;;;;;;
scl.ats1;3;;;;;;;;;
I(scl.ats1^2);4;;;;;;;;;
scl.clay;5;;;;;;;;;
scl.cn;6;;;;;;;;;
scl.pH;7;;;;;;;;;
scl.prec1;8;;;;;;;;;
age_class:samcam;9;;;;;;;;;
offset(log(area));10;;;;;;;;;
