"","X.Intercept.","age_class","samcam","scl.ats1","I.scl.ats1.2.","scl.clay","scl.cn","scl.mc","I.scl.mc.2.","scl.pH","scl.prec1","age_class.samcam","scl.cn.scl.pH","scl.mc.scl.pH","df","logLik","AICc","delta","weight","V20"
"1548",0.64572933138104,"+","+",NA,-0.332800330849941,NA,NA,NA,NA,NA,0.224122817504819,"+",NA,NA,18,-347.578429930781,735.405307066531,0,0.248859258679583,"anc"
"1564",0.63395417033958,"+","+",NA,-0.346178845052123,-0.248927778516395,NA,NA,NA,NA,0.200423916434523,"+",NA,NA,19,-346.750751029409,736.251502058819,0.846194992287451,0.163006489734133,"anc"
"1580",0.671860435109773,"+","+",NA,-0.356304585742013,NA,-0.160858350736917,NA,NA,NA,0.209114513131914,"+",NA,NA,19,-347.093415225173,736.936830450346,1.5315233838146,0.115714484738317,"anc"
"1612",0.674297095711357,"+","+",NA,-0.337326258068092,NA,NA,0.0455886851183257,NA,NA,0.200089990025548,"+",NA,NA,19,-347.349225838363,737.448451676727,2.04314461019567,0.089596405803844,"anc"
"1552",0.648702399883308,"+","+",-0.0136541946422471,-0.327392789029756,NA,NA,NA,NA,NA,0.224223909493241,"+",NA,NA,19,-347.574786623827,737.899573247655,2.49426618112363,0.0715040734864749,"anc"
"1628",0.673196948875533,"+","+",NA,-0.356791939046631,-0.276549764489623,NA,0.0621131047535347,NA,NA,0.164556004992569,"+",NA,NA,20,-346.334113218602,737.951245305129,2.54593823859739,0.0696803524865654,"anc"
"1116",0.809922455184575,"+","+",NA,-0.430684847300653,-0.356377726792415,NA,0.10877008071292,NA,NA,NA,"+",NA,NA,19,-347.816523380004,738.383046760008,2.97773969347713,0.0561494936727314,"anc"
"1596",0.651962378593637,"+","+",NA,-0.357544521409271,-0.202451337556029,-0.0896443990327492,NA,NA,NA,0.195581004783977,"+",NA,NA,20,-346.619998483135,738.523015834194,3.11770876766275,0.0523542504339595,"anc"
"1568",0.629439340646551,"+","+",0.0202981560648039,-0.354334895715461,-0.252383228232614,NA,NA,NA,NA,0.199766086016417,"+",NA,NA,20,-346.742863060014,738.768744987953,3.36343792142213,0.0463012310719956,"anc"
"1644",0.708902256646851,"+","+",NA,-0.364825448374295,NA,-0.175892036446157,0.0547704692661667,NA,NA,0.179120958227045,"+",NA,NA,20,-346.763729497588,738.8104778631,3.40517079656865,0.045345099545711,"anc"
"1052",0.795766214646178,"+","+",NA,-0.436026739739569,-0.33487029708591,NA,NA,NA,NA,NA,"+",NA,NA,18,-349.369892475436,738.988232155841,3.58292508930947,0.0414888603466847,"anc"
"M.1",0.447939438792785,"+","+",-0.238625599768934,-0.201900639517122,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,-304.445069174812,630.191913497552,0,0.395885742375332,"ancad"
"M.2",0.455629420171688,"+","+",NA,-0.312311968774147,NA,NA,NA,NA,NA,-0.0762295998534379,NA,NA,NA,10,-305.207281094402,631.716337336733,1.52442383918037,0.18473340296224,"ancad"
"M.3",0.477380528507549,"+","+",-0.215997991592896,-0.229311239934629,NA,NA,NA,NA,NA,-0.0435194349693339,NA,NA,NA,11,-304.325776661353,632.222981894134,2.03106839658176,0.14339333403533,"ancad"
"M.4",0.321155091511054,"+","+",-0.36835699956001,NA,NA,-0.158118921004775,NA,NA,NA,NA,NA,NA,NA,10,-305.720642601609,632.743060351147,2.55114685359422,0.110559320439541,"ancad"
"M.5",0.304434188856035,"+","+",-0.350236675021279,NA,NA,NA,NA,NA,0.0692589260656286,NA,NA,NA,NA,10,-305.816650087511,632.935075322951,2.7431618253986,0.100438412385387,"ancad"
"M.6",0.294165887319385,"+","+",-0.335994935258391,NA,NA,-0.207299439829585,NA,NA,0.0942014458954917,NA,NA,NA,NA,11,-305.117137956512,633.805704484452,3.61379098690009,0.0649897878021704,"ancad"
"6100",1.09159596603179,"+","+",NA,NA,0.532527591277202,NA,0.509091702331124,-0.102551624382372,0.0783389959876378,0.400232522778637,"+",NA,0.298188249769102,22,-562.389285683289,1175.22443123919,0,0.356730252844581,"endo"
"6084",1.08992273756723,"+","+",NA,NA,NA,NA,0.51522766686692,-0.0993596178019402,0.0921504806863163,0.396084835475288,"+",NA,0.2915005759469,21,-564.15286451792,1176.15383030166,0.929399062473067,0.224142132487319,"endo"
"5972",0.980895270075703,"+","+",NA,NA,0.496560925790786,NA,0.455123600056135,NA,0.129608683200838,0.397012535960349,"+",NA,0.305092635308156,21,-564.628339994426,1177.10478125467,1.88035001548405,0.139324381496444,"endo"
"5956",0.984777081446847,"+","+",NA,NA,NA,NA,0.462918867901975,NA,0.142249701089957,0.393571790696969,"+",NA,0.297598190371461,20,-566.240821079852,1177.76466102763,2.54022978843841,0.100169625871624,"endo"
"6132",1.09124844397174,"+","+",NA,NA,0.51342514044034,0.0528088921548575,0.507654320870708,-0.102113650954922,0.077817057048867,0.40082612390977,"+",NA,0.297633866767518,23,-562.371848585567,1177.82062024806,2.59618900886676,0.097405764966838,"endo"
"6116",1.08897291034148,"+","+",NA,NA,NA,0.215547435494365,0.509156956672211,-0.0980918506910105,0.0886411578906128,0.398717646043262,"+",NA,0.290206648208475,22,-563.856771625964,1178.15940312454,2.93497188534889,0.0822278423331955,"endo"
"59561",0.381649893518724,"+","+",NA,NA,NA,NA,0.247667106749468,NA,0.161996161004267,0.340139741648542,"+",NA,0.261306967239597,20,-393.3833702144,832.049759296724,0,0.274557705690502,"endad"
"59721",0.366340114448175,"+","+",NA,NA,0.335081027355634,NA,0.240067792835383,NA,0.143716471370587,0.346826059197411,"+",NA,0.271254323929471,21,-392.41978879445,832.687678854723,0.637919557998885,0.199577310177747,"endad"
"60841",0.296133682872563,"+","+",NA,NA,NA,NA,0.210248580141777,0.0690161842709241,0.191964256333034,0.341460621812677,"+",NA,0.268202149359802,21,-392.755525538477,833.359152342777,1.30939304605272,0.142660108432298,"endad"
"61001",0.285406586959745,"+","+",NA,NA,0.318904029364484,NA,0.205219693466946,0.064499304971528,0.171895860480609,0.347310423405638,"+",NA,0.277894773464156,22,-391.871489129783,834.188838132178,2.13907883545426,0.0942190171917767,"endad"
"5988",0.380573972013172,"+","+",NA,NA,NA,0.0431786742923404,0.245820622901507,NA,0.159902366949796,0.341394318044989,"+",NA,0.260837120832835,21,-393.364381540278,834.576864346379,2.52710504965466,0.0776032210825629,"endad"
"8036",0.253747278123915,"+","+",NA,NA,NA,-0.232371204920438,0.284178148124015,NA,0.167237415616959,0.324255983595759,"+",0.293954143433879,0.293976658424711,22,-392.259280994484,834.964421861579,2.91466256485546,0.0639326494895621,"endad"
"6004",0.366477218349642,"+","+",NA,NA,0.360329265733025,-0.0678778897130227,0.242470192565059,NA,0.145707573827262,0.345276292609654,"+",NA,0.272739626084194,22,-392.377492218522,835.200844309656,3.15108501293241,0.056804693450536,"endad"
"8052",0.233872702200575,"+","+",NA,NA,0.393923698600653,-0.365224594406631,0.281988664049427,NA,0.153175130996592,0.327467155321926,"+",0.30568743366838,0.307441014127083,23,-391.175063058922,835.427049194767,3.37728989804305,0.0507299522808901,"endad"
"61161",0.294526542524138,"+","+",NA,NA,NA,0.0491892982639754,0.207933524397766,0.0693743033097543,0.189658268301077,0.34289086744928,"+",NA,0.267747984146889,22,-392.730350405625,835.906560683861,3.85680138713701,0.0399153422041251,"endad"
"60842",1.73565254167513,"+","+",NA,NA,NA,NA,0.39815304709462,-0.092175559183742,0.107470962467289,0.399321438797775,"+",NA,0.168997944555596,21,-647.691266562817,1343.23063439146,0,0.51895546947902,"N"
"61002",1.74114713488132,"+","+",NA,NA,0.180182549942972,NA,0.396388083728194,-0.0933359492809178,0.102710310935316,0.401889560429891,"+",NA,0.1711855538641,22,-647.256608396552,1344.95907666571,1.7284422742573,0.218677259456191,"N"
"61162",1.73507145093522,"+","+",NA,NA,NA,0.0590669951102789,0.396603151336676,-0.0917727830555645,0.106474265623949,0.400147658582578,"+",NA,0.168796052181607,22,-647.64035358911,1345.72656705083,2.49593265937483,0.14898591170787,"N"
"8164",1.69334498431837,"+","+",NA,NA,NA,-0.107101273199709,0.436398614998838,-0.122007575763858,0.0974610738083971,0.38846659013169,"+",0.18056657791756,0.186063258180444,23,-646.59791673792,1346.27275655276,3.04212216130622,0.113381359356919,"N"
"11161",-3.88456468329165,"+","+",NA,-0.725770294587245,-0.661235029840284,NA,0.484097383965435,NA,NA,NA,"+",NA,NA,19,-210.569970340502,463.889940681004,0,0.488703038827862,"anc.juv"
