;X.Intercept.;age_class;samcam;scl.ats1;I.scl.ats1.2.;scl.clay;scl.cn;scl.mc;I.scl.mc.2.;scl.pH;scl.prec1;age_class.samcam;scl.cn.scl.pH;scl.mc.scl.pH;offset.log.area..;df;logLik;AICc;delta;weight;V21
1115;0.651784012;+;+;NA;-0.30334905;-0.411582793;NA;0.170337595;NA;NA;NA;+;NA;NA;NA;19;-344.1727747;731.1556759;0;0.084256625;anc
9307;2.038079794;+;+;NA;-0.303350019;-0.411583014;NA;0.170337693;NA;NA;NA;+;NA;NA;+;19;-344.1727747;731.1556759;1.15E-10;0.084256625;anc
1363;0.452409795;+;+;NA;NA;-0.516980656;NA;0.193129665;NA;0.277422345;NA;+;NA;NA;NA;19;-344.415161;731.6404485;0.484772595;0.066120637;anc
9555;1.838705353;+;+;NA;NA;-0.516980248;NA;0.193129504;NA;0.277422275;NA;+;NA;NA;+;19;-344.415161;731.6404485;0.484772595;0.066120637;anc
1099;0.687205156;+;+;NA;-0.283298226;NA;NA;0.162999741;NA;NA;NA;+;NA;NA;NA;18;-346.2393872;732.7806612;1.624985245;0.037388927;anc
9291;2.073497986;+;+;NA;-0.283297928;NA;NA;0.162999849;NA;NA;NA;+;NA;NA;+;18;-346.2393872;732.7806612;1.624985245;0.037388927;anc
9735;1.967914131;+;+;-0.42792872;NA;NA;NA;NA;NA;NA;0.186069447;+;NA;NA;+;18;-346.4661059;733.2340986;2.078422693;0.029804395;anc
1543;0.581618323;+;+;-0.427927724;NA;NA;NA;NA;NA;NA;0.186069524;+;NA;NA;NA;18;-346.4661059;733.2340986;2.078422694;0.029804395;anc
9819;1.980331151;+;+;NA;-0.279655689;-0.387989479;NA;0.155152974;NA;NA;0.060915556;+;NA;NA;+;20;-343.9474383;733.245195;2.089519102;0.029639492;anc
1627;0.594039119;+;+;NA;-0.279655967;-0.387989649;NA;0.155153466;NA;NA;0.060914827;+;NA;NA;NA;20;-343.9474383;733.245195;2.089519103;0.029639492;anc
9743;2.049835423;+;+;-0.356925366;-0.14310589;NA;NA;NA;NA;NA;0.14990691;+;NA;NA;+;19;-345.2311847;733.272496;2.116820123;0.029237647;anc
1551;0.663538361;+;+;-0.356925228;-0.14310629;NA;NA;NA;NA;NA;0.149907114;+;NA;NA;NA;19;-345.2311847;733.272496;2.116820123;0.029237647;anc
1147;0.658160852;+;+;NA;-0.306209397;-0.380952575;-0.057808259;0.170815553;NA;NA;NA;+;NA;NA;NA;20;-344.1193719;733.5890623;2.433386339;0.024957491;anc
9339;2.04445509;+;+;NA;-0.306210039;-0.380957709;-0.057805448;0.17081581;NA;NA;NA;+;NA;NA;+;20;-344.1193719;733.5890623;2.43338634;0.024957491;anc
5459;0.432483746;+;+;NA;NA;-0.49619054;NA;0.197366894;NA;0.262681435;NA;+;NA;0.048236333;NA;20;-344.2236434;733.7976052;2.64192929;0.022486217;anc
13651;1.8187806;+;+;NA;NA;-0.496190264;NA;0.197367038;NA;0.262681622;NA;+;NA;0.048236245;+;20;-344.2236434;733.7976052;2.641929291;0.022486217;anc
1039;0.795152868;+;+;-0.35926042;-0.186635502;NA;NA;NA;NA;NA;NA;+;NA;NA;NA;18;-346.7859893;733.8738654;2.718189513;0.021644956;anc
9231;2.181451006;+;+;-0.359262977;-0.1866347;NA;NA;NA;NA;NA;NA;+;NA;NA;+;18;-346.7859893;733.8738654;2.718189513;0.021644956;anc
