;covariates;anc;ancad;endo;endad;N;anc.juv;endo.juv;juv;anc.bm;ancad.bm;endo.bm;endad.bm;N.bm;anc.juv.bm;endo.juv.bm;juv.bm;SR;H
age_class;age_class;1;1;1;1;1;1;1;1;1;1;1;0.946947945;1;NA;0.366690031;0.479836039;1;0.654880738
samcam;samcam;1;1;1;1;1;1;1;1;NA;0.115857715;1;1;0.645517558;1;1;NA;1;0.323949159
scl.mc;scl.mc;0.747611172;0.147530059;1;1;1;0.559452293;1;1;0.125024647;0.102460338;1;0.707240346;0.026285358;NA;1;1;1;0.112207345
I(scl.mc^2);I(scl.mc^2);0.100969758;NA;0.458969332;0.50524999;1;0.017834827;1;1;NA;NA;0.112951912;NA;NA;NA;NA;NA;0.7953685;NA
scl.cn;scl.cn;0.13068898;0.373572547;0.309673882;0.546471013;0.177181554;0.079959914;0.232583837;0.282023957;0.067295616;0.039208372;NA;0.116909382;NA;NA;NA;NA;0.111582892;NA
scl.pH;scl.pH;0.255981667;NA;1;1;NA;0.150800671;0.141324311;NA;0.100492103;0.101157975;1;0.707240346;0.062436483;NA;1;0.936991858;1;0.045814091
scl.clay;scl.clay;0.648328779;0.378566589;0.514492983;0.387149901;0.262536038;0.511839759;0.438989931;0.318690126;0.070070749;0.042436745;0.114972764;0.130275538;NA;NA;NA;0.10869584;0.143583007;NA
scl.ats1;scl.ats1;0.252388828;0.173988509;NA;NA;NA;0.092466338;NA;NA;0.071405372;0.225685822;NA;0.292759654;0.293803663;NA;NA;NA;NA;0.164038765
I(scl.ats1^2);I(scl.ats1^2);0.596063892;1;NA;NA;NA;0.531853586;NA;NA;0.121015016;0.388216511;NA;NA;0.317035832;NA;NA;NA;NA;NA
scl.prec1;scl.prec1;0.33434888;0.152992564;NA;NA;1;0.235307196;0.858675689;1;NA;NA;NA;0.292759654;0.273025114;NA;NA;NA;NA;NA
age_class:samcam;age_class:samcam;1;NA;1;1;1;1;1;1;NA;NA;NA;0.395961027;NA;NA;0.366690031;NA;NA;NA
scl.mc:scl.pH;scl.mc:scl.pH;0.044972435;NA;1;1;NA;NA;0.141324311;NA;NA;NA;1;0.707240346;NA;NA;0.904358022;0.133993006;1;NA
scl.cn:scl.pH;scl.cn:scl.pH;NA;NA;0.10814061;0.432577579;NA;NA;NA;NA;NA;NA;NA;0.060569246;NA;NA;NA;NA;NA;NA
