"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1","1 - 2","A_Cm","-3.21","0.004","-1.75","0.186",NA,NA,"-3.17","0.005"
"2","1 - 3","A_Cm","-4.23","0","-0.66","0.787",NA,NA,"-5.14","0"
"3","2 - 3","A_Cm","-0.67","0.778","2.02","0.108",NA,NA,"-1.53","0.278"
"4","1 - 2","B_Sp_young","-3.21","0.004","-4.02","0",NA,NA,"-3.17","0.005"
"5","1 - 3","B_Sp_young","-4.23","0","-0.96","0.599",NA,NA,"-5.14","0"
"6","2 - 3","B_Sp_young","-0.67","0.778","3.88","0",NA,NA,"-1.53","0.278"
"7","1 - 2","C_Sp_int1","-3.21","0.004","-0.14","0.989",NA,NA,"-3.17","0.005"
"8","1 - 3","C_Sp_int1","-4.23","0","-1.94","0.129",NA,NA,"-5.14","0"
"9","2 - 3","C_Sp_int1","-0.67","0.778","-1.6","0.247",NA,NA,"-1.53","0.278"
"10","1 - 2","D_Sp_int2","-3.21","0.004","0.44","0.897",NA,NA,"-3.17","0.005"
"11","1 - 3","D_Sp_int2","-4.23","0","-2.02","0.107",NA,NA,"-5.14","0"
"12","2 - 3","D_Sp_int2","-0.67","0.778","-2.27","0.06",NA,NA,"-1.53","0.278"
"13","1 - 2","E_Sp_old","-3.21","0.004","-2.56","0.028",NA,NA,"-3.17","0.005"
"14","1 - 3","E_Sp_old","-4.23","0","-2.85","0.012",NA,NA,"-5.14","0"
"15","2 - 3","E_Sp_old","-0.67","0.778","-0.88","0.653",NA,NA,"-1.53","0.278"
