;Estimate;Std. Error;z value;Pr(>|z|)
(Intercept);1.767946165;0.233368125;7.575782518;3.57E-14
;;;;
age_class.L;2.383491025;0.550709531;4.328036637;1.50E-05
age_class.Q;-1.045116091;0.535723769;-1.950848836;0.05107503
age_class.C;-0.660187071;0.495568953;-1.332180046;0.182801032
age_class^4;0.149522654;0.480650717;0.311083804;0.755736913
;;;;
samcam2;0.998876044;0.228398779;4.373386099;1.22E-05
samcam3;0.58544709;0.197962642;2.957361474;0.003102841
;;;;
scl.mc;0.247667256;0.078178791;3.167959682;0.001535128
;;;;
;;;;
scl.pH;0.161996853;0.067173041;2.411634961;0.015881173
;;;;
;;;;
;;;;
;;;;
scl.prec1;0.340139452;0.078898116;4.311122639;1.62E-05
;;;;
age_class.L:samcam2;-1.18771658;0.538493245;-2.205629487;0.027409953
age_class.Q:samcam2;1.373271587;0.488792329;2.809519514;0.004961551
age_class.C:samcam2;0.402750491;0.367873614;1.094806683;0.273601338
age_class^4:samcam2;-0.448797843;0.310829435;-1.44387176;0.148775052
;;;;
age_class.L:samcam3;-0.229859673;0.572170085;-0.401733119;0.687880448
age_class.Q:samcam3;0.757519455;0.514593674;1.472073002;0.141001165
age_class.C:samcam3;-0.044540689;0.399667981;-0.111444226;0.911264091
age_class^4:samcam3;0.563013002;0.289094791;1.947503102;0.051474448
;;;;
scl.mc:scl.pH;0.261306827;0.086873328;3.007906245;0.002630543
