;"""df""";"""logLik""";"""AICc""";"""delta""";"""weight""";;;;
12567;12.00;-160.67;347.20;0.00;0.20;;;;
1267;11.00;-162.72;349.02;1.82;0.08;;;;
1245678;14.00;-159.30;349.15;1.95;0.07;;;;
2567;8.00;-166.54;349.93;2.73;0.05;;;;
124678;13.00;-161.27;350.73;3.53;0.03;;;;
123567;13.00;-161.33;350.85;3.65;0.03;;;;
12467;12.00;-162.51;350.89;3.69;0.03;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;age_class;samcam;scl.clay;scl.mc;I(scl.mc^2);scl.pH;scl.prec1;scl.mc:scl.pH;offset(log(area))
;1.00;2.00;3.00;4.00;5.00;6.00;7.00;8.00;9.00
age_class;1;;;;;;;;
samcam;2;;;;;;;;
scl.clay;3;;;;;;;;
scl.mc;4;;;;;;;;
I(scl.mc^2);5;;;;;;;;
scl.pH;6;;;;;;;;
scl.prec1;7;;;;;;;;
scl.mc:scl.pH;8;;;;;;;;
offset(log(area));9;;;;;;;;
