"","covariates","anc","ancad","endo","endad","N","anc.juv","endo.juv","juv","anc.bm","ancad.bm","endo.bm","endad.bm","N.bm","anc.juv.bm","endo.juv.bm","juv.bm","SR","H"
"age_class","age_class","1","1","1","1","1","1","1","1","1","1","1","0.898815600863278","1",NA,"0.145453485525977","0.413160810106859","1","0.289016318036292"
"samcam","samcam","1","1","1","1","1","1","1","1","0.0845400167570117",NA,"1","1","0.789347675836263","0.631503901326225","1",NA,"1",NA
"scl.mc","scl.mc","0.260771351508852",NA,"1","1","1","1","1","1","0.0710790503668009",NA,"1","0.27937686174499",NA,"0.154938909758378","0.500957283841199","1","1","0.0930295020465305"
"I(scl.mc^2)","I(scl.mc^2)",NA,NA,"0.760505992631933","0.2767944678282","1",NA,"1","1",NA,NA,"0.460618166987721","0.710041477385121","0.0500706319987889",NA,NA,NA,"1",NA
"scl.cn","scl.cn","0.213413834717987","0.175549108241711","0.179633607300033","0.288985858507676","0.262367271064789","0.137724733312083","0.265120073597416","0.292945443495031","0.0555547714261362",NA,NA,NA,NA,NA,NA,NA,"0.126174210968621",NA
"scl.pH","scl.pH",NA,"0.165428200187557","1","1","1",NA,"0.762350137474469","0.436276149546535","0.065841661573939","0.148103003321205","1","1","0.346567839347897",NA,"0.572087597099489","1","1",NA
"scl.clay","scl.clay","0.42898067774607",NA,"0.593460399307862","0.40133097310095","0.218677259456191","0.835847951515272","0.432106287276261","0.314446134522331","0.0655984233402704",NA,NA,"0.0639008040708426",NA,NA,"0.113522575600179","0.0980006933416773","0.150790503117101","0.0934464997055097"
"scl.ats1","scl.ats1","0.11780530455847","0.81526659703776",NA,NA,NA,NA,NA,NA,"0.428717567336304","0.6572721152239",NA,NA,"0.394826964216454",NA,"0.499042716158801",NA,NA,NA
"I(scl.ats1^2)","I(scl.ats1^2)","1","0.724012479372902",NA,NA,NA,"0.932940497108155",NA,NA,"0.336699538250359","0.851896996678795",NA,NA,"0.0861468484516043",NA,"0.206485964198946",NA,NA,NA
"scl.prec1","scl.prec1","0.902361645980584","0.32812673699757","1","1","1","0.373572227860055","1","1","0.378315557841981","0.191126864876255","1","1","1","0.426576439484285","0.613682647137827","0.923103807710506","1",NA
"age_class:samcam","age_class:samcam","1",NA,"1","1","1","1","1","1",NA,NA,"0.21447804237386",NA,NA,NA,"0.145453485525977",NA,NA,NA
"scl.mc:scl.pH","scl.mc:scl.pH",NA,NA,"1","1","1",NA,"0.721667046116462","0.233613144413119",NA,NA,"1","0.216885885534158",NA,NA,"0.464668929684451",NA,"1",NA
"scl.cn:scl.pH","scl.cn:scl.pH",NA,NA,NA,"0.114662601770452","0.113381359356919",NA,"0.0388783234257256",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
