±;dgN;area;age;y_est;year;pH;mc;cn;sand;silt;clay;ata1;atb1;hum1;ats1;prec1;rad1;ata2;atb2;hum2;ats2;prec2;rad2;soil_tillage;fertilisation;weed_control;soil_compaction;compaction;dsamcam;ACA;ACH;ALO;ARO;END;LCA;LRU;LTR;LUM;OCY;OLA;UNK;ACA_BM;ACH_BM;ALO_BM;ARO_BM;END_BM;LCA_BM;LRU_BM;LTR_BM;LUM_BM;OCY_BM;OLA_BM;UNK_BM;endad;endad.bm;ancad;ancad.bm
11.658097(± 0);51(± 0);0.25(± 0);8.67(± 0.33);2004(± 0);2012.67(± 0.33);5.57(± 0.14);18.61(± 2.86);8.33(± 0);10.8(± 0);55.2(± 0);34(± 0);9.75(± 4.36);11.19(± 4.23);70.29(± 1.73);12.61(± 4.5);1.27(± 0.35);3109.08(± 403.98);15.39(± 1.43);15.83(± 1.04);63.29(± 6.85);13.85(± 1.6);3.73(± 3.73);4007(± 1211.98);1(± 0);2(± 0);1.33(± 0.33);1(± 0);1(± 0);459(± 111.28);4(± 2.08);0.33(± 0.33);0(± 0);2.33(± 0.67);3.33(± 2.33);0(± 0);0(± 0);16.67(± 3.18);0(± 0);1.33(± 1.33);1(± 0.58);3(± 1.15);3.83(± 2.17);0.22(± 0.22);0(± 0);0.51(± 0.15);0.7(± 0.21);0(± 0);0(± 0);60.82(± 13.31);0(± 0);2.68(± 2.68);1.19(± 0.61);0(± 0);8.67(± 1.33);8.41(± 2.78);14.67(± 3.71);59.48(± 14.24)
10.78191(± 0);50.41(± 0);0.25(± 0);8.67(± 0.33);2004(± 0);2012.67(± 0.33);5.8(± 0.61);25.57(± 4.07);8.98(± 0);12.3(± 0);50.4(± 0);37.3(± 0);7.66(± 1.35);8.46(± 1.47);76.8(± 2.91);9.44(± 2.2);1.86(± 0.48);2709.79(± 352.18);9.31(± 1.17);10.29(± 1.6);78.47(± 6.33);9.96(± 0.43);0.03(± 0.03);3018(± 1598.92);1(± 0);2(± 0);2(± 0);2(± 0);2(± 0);474.33(± 105.1);4.67(± 2.19);0(± 0);0(± 0);11.33(± 1.76);6.67(± 3.28);0(± 0);0(± 0);31.33(± 5.24);1.33(± 0.88);0(± 0);0(± 0);4.33(± 2.19);3.28(± 1.54);0(± 0);0(± 0);2.36(± 0.67);0.59(± 0.26);0(± 0);0(± 0);94.77(± 18.94);0.13(± 0.13);0(± 0);0(± 0);0(± 0);14(± 2.65);5.23(± 1.67);21(± 3.21);89.15(± 18.49)
11.656257(± 0);51(± 0);0.25(± 0);7.67(± 0.33);2005(± 0);2012.67(± 0.33);6.37(± 0.76);19.3(± 2.5);10.95(± 0);6.1(± 0);63(± 0);30.9(± 0);9.75(± 4.36);11.19(± 4.23);70.29(± 1.73);12.61(± 4.5);1.27(± 0.35);3109.08(± 403.98);15.39(± 1.43);15.83(± 1.04);63.29(± 6.85);13.85(± 1.6);3.73(± 3.73);4007(± 1211.98);1(± 0);2(± 0);1.33(± 0.33);2(± 0);2(± 0);459(± 111.28);42(± 11.93);38.67(± 12.13);0(± 0);79(± 47.13);115.33(± 14.88);4.67(± 2.73);1(± 0.58);15(± 5.51);5.67(± 3.71);0.33(± 0.33);1.33(± 1.33);6.67(± 2.73);14.33(± 4.32);11.43(± 3.88);0(± 0);15.23(± 9.33);11.63(± 3.76);0.87(± 0.55);0.48(± 0.25);36.27(± 20.75);1.3(± 0.82);0.34(± 0.34);1.06(± 1.06);0.06(± 0.06);118(± 41.43);35.13(± 13.18);10.67(± 4.37);31.51(± 19.83)
11.657904(± 0);51(± 0);0.25(± 0);5.67(± 0.33);2007(± 0);2012.67(± 0.33);7.09(± 0.14);16.84(± 1.9);9.16(± 0);7.2(± 0);63.2(± 0);29.6(± 0);10.02(± 4.33);11.44(± 4.15);70.27(± 1.73);12.74(± 4.44);1.14(± 0.23);3130.55(± 418.11);14.24(± 0.66);14.65(± 0.5);68.99(± 1.86);14.17(± 1.19);0.27(± 0.27);2931(± 417.65);1(± 0);2(± 0);1.33(± 0.33);2(± 0);2(± 0);459.33(± 111.87);10(± 4.58);0(± 0);0(± 0);6.33(± 2.4);6.67(± 4.7);0(± 0);0(± 0);16.67(± 4.33);2(± 2);0(± 0);2.67(± 0.33);1(± 1);7.41(± 3.58);0(± 0);0(± 0);1.84(± 0.77);0.77(± 0.47);0(± 0);0(± 0);53.74(± 8.1);0.69(± 0.69);0(± 0);2.81(± 0.86);0(± 0);15.67(± 2.96);10.52(± 1.71);13.33(± 2.91);53.18(± 7.86)
11.005805(± 0);50.98(± 0);0.25(± 0);5.67(± 0.33);2007(± 0);2012.67(± 0.33);7.14(± 0.21);24.45(± 3.22);12.36(± 0);12.7(± 0);60.2(± 0);27.1(± 0);9.57(± 1.63);8.72(± 1.36);76.9(± 3.33);10.33(± 2.11);0.94(± 0.18);2785.04(± 374.42);11.25(± 1.45);9.93(± 1.64);72.9(± 7.46);10.11(± 0.86);2.13(± 2.13);2900.67(± 949.71);1(± 0);2(± 0);1(± 0);2(± 0);2(± 0);473.33(± 105.1);16.67(± 2.91);0(± 0);0(± 0);0(± 0);12.67(± 8.69);0(± 0);0(± 0);30.67(± 3.53);4.33(± 4.33);3(± 1.73);0(± 0);4.67(± 1.2);15(± 3.6);0(± 0);0(± 0);0(± 0);2.52(± 1.24);0(± 0);0(± 0);78.06(± 9.58);0.89(± 0.89);2.14(± 1.11);0(± 0);0(± 0);17(± 2.52);15.95(± 3.44);18.33(± 1.76);72.95(± 9.27)
11.89876(± 0);50.65(± 0);0.25(± 0);5.67(± 0.33);2007(± 0);2012.67(± 0.33);5.96(± 0.09);18.48(± 1.34);8.59(± 0);28.9(± 0);51.1(± 0);20(± 0);9.21(± 4.17);10.12(± 4.36);74.95(± 2.84);10.2(± 4.18);1.74(± 0.59);3526.78(± 533.04);12.19(± 1.46);12.88(± 1.09);74.7(± 7.37);11.48(± 1.27);1.67(± 1.67);3608.33(± 1299.02);1(± 0);3(± 0);3(± 0);4(± 0);2(± 0);459.67(± 110.73);66.33(± 9.68);0(± 0);0(± 0);2.67(± 1.33);18.67(± 4.41);3.67(± 2.73);0(± 0);5.67(± 2.91);1(± 1);0(± 0);0(± 0);10.33(± 3.67);50.54(± 7.66);0(± 0);0(± 0);0.47(± 0.23);1.95(± 0.68);1.16(± 1.15);0(± 0);7.49(± 3.09);0.1(± 0.1);0(± 0);0(± 0);0.93(± 0.93);66.33(± 11.79);49.8(± 7.92);4.33(± 3.33);5.36(± 3.29)
11.657303(± 0);51(± 0);0.25(± 0);3.67(± 0.33);2009(± 0);2012.67(± 0.33);6.73(± 0.18);16.36(± 2.69);8.52(± 0);10.1(± 0);62.4(± 0);27.5(± 0);10.02(± 4.33);11.44(± 4.15);70.27(± 1.73);12.74(± 4.44);1.14(± 0.23);3130.55(± 418.11);14.24(± 0.66);14.65(± 0.5);68.99(± 1.86);14.17(± 1.19);0.27(± 0.27);2931(± 417.65);1(± 0);2.67(± 0.33);1.33(± 0.33);2.67(± 0.33);2(± 0);459.33(± 111.87);11.67(± 1.86);0(± 0);0(± 0);6(± 1);7.33(± 4.84);0(± 0);0(± 0);6.67(± 1.76);0(± 0);0(± 0);0(± 0);1(± 0.58);10.44(± 1.93);0(± 0);0(± 0);1.37(± 0.54);0.79(± 0.54);0(± 0);0(± 0);24.22(± 5.43);0(± 0);0(± 0);0(± 0);0(± 0);16.67(± 0.88);11.33(± 1.81);4.67(± 1.33);23.2(± 6.22)
11.004722(± 0);50.98(± 0);0.25(± 0);3.67(± 0.33);2009(± 0);2012.67(± 0.33);7.32(± 0.1);22.41(± 2.69);13.15(± 0);10.2(± 0);62.1(± 0);27.7(± 0);9.57(± 1.63);8.72(± 1.36);76.9(± 3.33);10.33(± 2.11);0.94(± 0.18);2785.04(± 374.42);11.25(± 1.45);9.93(± 1.64);72.9(± 7.46);10.11(± 0.86);2.13(± 2.13);2900.67(± 949.71);1(± 0);2(± 0);1(± 0);3(± 0);2(± 0);473.67(± 105.39);14.33(± 11.39);4.67(± 4.67);0(± 0);1.67(± 1.2);54(± 53.5);0(± 0);0(± 0);10(± 4.58);1.67(± 1.67);0(± 0);0(± 0);4.33(± 4.33);16.17(± 12.57);1.59(± 1.59);0(± 0);0.35(± 0.35);4.73(± 4.7);0(± 0);0(± 0);19.04(± 5.07);0.39(± 0.39);0(± 0);0(± 0);0(± 0);20(± 16.56);17.72(± 14.12);4.67(± 2.73);17.79(± 4.62)
9.780602(± 0);52.15(± 0);0.25(± 0);3.67(± 0.33);2009(± 0);2012.67(± 0.33);6.25(± 0.14);15.11(± 3.2);9.02(± 0);16.9(± 0);68.6(± 0);14.5(± 0);7.36(± 4.14);7.61(± 4.22);82.26(± 2.02);9.16(± 4.03);1.15(± 0.36);2574.38(± 299.25);7.57(± 1.15);7.8(± 1.25);88.75(± 6.01);9.07(± 2.2);0.47(± 0.47);2141.67(± 970.59);1(± 0);2(± 0);2(± 0);2.33(± 0.33);2(± 0);466.67(± 99.02);8.33(± 1.67);0.67(± 0.67);21(± 3.06);6.67(± 2.6);19(± 6.51);0(± 0);0(± 0);33(± 8.14);0.33(± 0.33);0.33(± 0.33);0(± 0);7.67(± 0.67);4.06(± 0.91);0.3(± 0.3);20.16(± 4.9);1.17(± 0.39);2.87(± 1.38);0(± 0);0(± 0);39.75(± 10.52);0.04(± 0.04);0.52(± 0.52);0(± 0);0(± 0);13.67(± 1.2);5.65(± 0.9);27(± 5);48.03(± 4.47)
10.999336(± 0);50.98(± 0);0.25(± 0);1.67(± 0.33);2011(± 0);2012.67(± 0.33);7.34(± 0.11);20.38(± 1.64);18.34(± 0);12.7(± 0);58(± 0);29.3(± 0);9.62(± 1.64);8.78(± 1.38);76.84(± 3.28);10.4(± 2.14);0.87(± 0.16);2799.91(± 361.52);9.92(± 2.05);8.74(± 2.07);74.92(± 9.2);9.57(± 1.12);0(± 0);2903.67(± 947.17);1(± 0);2(± 0);2(± 1);3.33(± 0.33);2(± 0);473(± 104.82);1(± 0.58);0(± 0);0(± 0);8(± 6.03);10.33(± 5.24);0(± 0);0(± 0);4.67(± 1.33);0(± 0);0(± 0);0(± 0);1(± 0.58);0.86(± 0.51);0(± 0);0(± 0);1.82(± 1.19);0.96(± 0.61);0(± 0);0(± 0);13.83(± 1.94);0(± 0);0(± 0);0(± 0);0(± 0);7.33(± 4.91);2.3(± 1.32);3.33(± 0.67);13.65(± 1.84)
