"","anc","anc","anc","ancad","ancad","ancad","endo","endo","endo","endad","endad","endad","N","N","N","anc.juv","anc.juv","anc.juv","endo.juv","endo.juv","endo.juv","juv","juv","juv","anc.bm","anc.bm","anc.bm","ancad.bm","ancad.bm","ancad.bm","endo.bm","endo.bm","endo.bm","endad.bm","endad.bm","endad.bm","N.bm","N.bm","N.bm","anc.juv.bm","anc.juv.bm","anc.juv.bm","endo.juv.bm","endo.juv.bm","endo.juv.bm","juv.bm","juv.bm","juv.bm","SR","SR","SR","H","H","H","endad.old","endad.old","endad.old"
"","estimate","2.5%","97.5%","estimate","2.5%","97.5%","estimate","2.5%","97.5%","estimate","2.5%","97.5%","estimate","2.5%","97.5%","estimate","2.5%","97.5%","estimate","2.5%","97.5%","estimate","2.5%","97.5%","estimate","2.5%","97.5%","estimate","2.5%","97.5%","estimate","2.5%","97.5%","estimate","2.5%","97.5%","estimate","2.5%","97.5%","estimate","2.5%","97.5%","estimate","2.5%","97.5%","estimate","2.5%","97.5%","estimate","2.5%","97.5%","estimate","2.5%","97.5%","estimate","2.5%","97.5%"
"(Intercept)","0.65","0.24","1.05","0.45","0.07","0.82","1.09","0.58","1.6","0.38","-0.08","0.84","1.74","1.38","2.09","-3.88","-2288.41","2280.64","0.32","-0.35","0.99","0.69","0.13","1.26","1.62","1.31","1.94","1.8","1.46","2.13","0.47","0.16","0.78","0.41","0.12","0.7","1.64","1.38","1.89",NA,NA,NA,"0.2","0","0.4","0.53","0.28","0.77","1.24","0.76","1.72",NA,NA,NA,"0.38","-0.08","0.84"
"age_class.L","1.99","1.13","2.86","1.96","1.31","2.62","1.63","0.34","2.93","2.38","1.3","3.46","2.29","1.5","3.08","9.5","-3602.65","3621.66","1.3","-0.38","2.97","2.25","1.04","3.45","1.65","0.97","2.32","1.6","0.97","2.23","1.14","0.63","1.65","1.01","0.5","1.52","1.82","1.43","2.21",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.81","1.07","2.55",NA,NA,NA,"2.38","1.3","3.46"
"age_class.Q","-0.86","-1.69","-0.04","-0.67","-1.3","-0.03","-1.4","-2.64","-0.17","-1.05","-2.1","0","-0.86","-1.64","-0.07","4.76","-3048.07","3057.59","-1.14","-2.73","0.46","-0.77","-1.96","0.41","-0.4","-1.11","0.3","-0.13","-0.77","0.52","-0.07","-0.61","0.47","-0.13","-0.67","0.41","-0.5","-0.91","-0.09",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","-0.79","0.8",NA,NA,NA,"-1.05","-2.1","0"
"age_class.C","-0.24","-1.02","0.55","0.29","-0.33","0.91","-0.82","-1.92","0.28","-0.66","-1.63","0.31","-0.48","-1.25","0.29","-11.83","-7236.14","7212.48","-0.67","-2.15","0.81","-0.72","-2","0.55","0.19","-0.53","0.92","0.17","-0.5","0.84","-0.56","-1.12","-0.01","-0.54","-1.09","0.02","-0.14","-0.55","0.28",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.08","-0.72","0.88",NA,NA,NA,"-0.66","-1.63","0.31"
"age_class^4","0.7","0","1.41","0.05","-0.56","0.65","0.95","-0.14","2.03","0.15","-0.79","1.09","0.97","0.22","1.72","10.62","-5450.44","5471.68","2.14","0.71","3.56","2.14","0.93","3.35","-0.01","-0.75","0.73","0.02","-0.66","0.71","-0.13","-0.7","0.44","-0.21","-0.78","0.35","-0.18","-0.6","0.24",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.13","-0.69","0.96",NA,NA,NA,"0.15","-0.79","1.09"
"samcam2","0.85","0.45","1.26","-0.13","-0.73","0.46","0.73","0.31","1.15","1","0.55","1.45","0.72","0.42","1.02","4.89","-2279.64","2289.41","0.45","-0.15","1.05","0.88","0.4","1.36",NA,NA,NA,NA,NA,NA,"0.82","0.52","1.13","0.74","0.48","1","0.79","0.44","1.14",NA,NA,NA,"0.17","0.03","0.32",NA,NA,NA,"1.39","0.88","1.89",NA,NA,NA,"1","0.55","1.45"
"samcam3","0.31","-0.06","0.67","0.48","0.22","0.73","0.79","0.42","1.15","0.59","0.2","0.97","0.74","0.48","1","-0.25","-3282.57","3282.07","1.14","0.65","1.63","0.98","0.56","1.39",NA,NA,NA,NA,NA,NA,"0.54","0.34","0.74","0.43","0.24","0.63","0.46","0.18","0.75",NA,NA,NA,"0.27","0.15","0.4",NA,NA,NA,"0.48","0.15","0.82",NA,NA,NA,"0.59","0.2","0.97"
"scl.mc",NA,NA,NA,NA,NA,NA,"0.51","0.37","0.65","0.25","0.09","0.4","0.4","0.31","0.49","0.48","0.26","0.71","0.86","0.62","1.1","0.63","0.46","0.79",NA,NA,NA,NA,NA,NA,"0.1","-0.02","0.23",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.15","0.08","0.21","0.2","0.12","0.28","0.09","-0.11","0.29",NA,NA,NA,"0.25","0.09","0.4"
"I(scl.mc^2)",NA,NA,NA,NA,NA,NA,"-0.1","-0.2","-0.01",NA,NA,NA,"-0.09","-0.16","-0.02",NA,NA,NA,"-0.31","-0.47","-0.14","-0.3","-0.41","-0.19",NA,NA,NA,NA,NA,NA,"0.14","0.04","0.24","0.13","0.05","0.22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.34","0.18","0.51",NA,NA,NA,NA,NA,NA
"scl.cn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"scl.pH",NA,NA,NA,NA,NA,NA,"0.08","-0.04","0.19","0.16","0.03","0.29","0.11","0.03","0.18",NA,NA,NA,"0.01","-0.17","0.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.29","0.15","0.44","0.29","0.15","0.44",NA,NA,NA,NA,NA,NA,"0.16","0.08","0.25","0.21","0.1","0.32","0.34","0.1","0.57",NA,NA,NA,"0.16","0.03","0.29"
"scl.clay",NA,NA,NA,NA,NA,NA,"0.53","-0.02","1.08",NA,NA,NA,NA,NA,NA,"-0.66","-1.04","-0.28","0.59","-0.11","1.29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"scl.ats1",NA,NA,NA,"-0.24","-0.54","0.07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.26","-0.43","-0.09","-0.19","-0.33","-0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"I(scl.ats1^2)","-0.33","-0.54","-0.13","-0.2","-0.42","0.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.73","-1.06","-0.39",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.25","-0.41","-0.09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"scl.prec1","0.22","0.06","0.39",NA,NA,NA,"0.4","0.27","0.53","0.34","0.19","0.49","0.4","0.31","0.49",NA,NA,NA,"0.45","0.23","0.67","0.58","0.42","0.74","0.28","0.1","0.46",NA,NA,NA,"0.3","0.18","0.42","0.32","0.2","0.45","0.31","0.15","0.47",NA,NA,NA,NA,NA,NA,"0.13","0.05","0.21","0.4","0.2","0.61",NA,NA,NA,"0.34","0.19","0.49"
