"","Factor1","Factor1","anc","anc","ancad","ancad","endo","endo","endad","endad","N","N","anc.juv","anc.juv","endo.juv","endo.juv","juv","juv","anc.bm","anc.bm","ancad.bm","ancad.bm","endo.bm","endo.bm","endad.bm","endad.bm","N.bm","N.bm","anc.juv.bm","anc.juv.bm","endo.juv.bm","endo.juv.bm","juv.bm","juv.bm","SR","SR","H","H","endad.old","endad.old"
"1","age_class","samcam","lsmean","group","lsmean","group","lsmean","group","lsmean","group","lsmean","group","lsmean","group","lsmean","group","lsmean","group","lsmean","group","lsmean","group","lsmean","group","lsmean","group","lsmean","group","lsmean","group","lsmean","group","lsmean","group","lsmean","group","lsmean","group","lsmean","group"
"2","A_Cm","1","0.399564753354465"," 1   ","0.29067867615883"," 1                ","0.727355361168064"," 12345678                ","0.232745838170165"," 12    ","1.1043398257857"," 12                ","0.0960590170614929"," 12  ","0.527482328179795"," 1234  ","0.517148051376121"," 123     ",NA,NA,NA,NA,"-0.126779419693572"," 12345678            ","-0.151746554352668"," 12345678                ","0.24104503308748"," 1            ",NA,NA,NA,NA,NA,NA,"0.0832072719849643"," 12                    ",NA,NA,"0.232750904556355"," 12    "
"3","B_Sp_young","1","0.787191212953649"," 12  ","1.18278387301571"," 1234567          ","0.977446132525424"," 12 4 6  90AB            ","0.558903885391668"," 1 3   ","1.60652868403517"," 1                 ","1.00385135478644e-09"," 1234","0.291139731380709"," 1234  ","0.275302556984683"," 1       ",NA,NA,NA,NA,"-0.165698127180593"," 12 4 6  90AB        ","-0.114030045712269"," 12 4 6  90ABCDEF        ","1.19363125954141"," 12345        ",NA,NA,NA,NA,NA,NA,"0.653651229001121"," 1 345678              ",NA,NA,"0.558904413864117"," 1 3   "
"4","C_Sp_int1","1","5.01104092586949","  234","2.30904757410055","  23 5  890AB     ","12.4334121775591"," 1 345   90  CD          ","2.85058213215972"," 123456","17.9827181844384","   345678          ","3.28061458175741","   34","11.7455391989384"," 12  56","14.0040836537647","    45   ",NA,NA,NA,NA,"0.41707066426327"," 1 345   90  CDEF    ","0.328296571221397"," 1 345   90 B D  GHIJ    ","1.77705192053585","  234 6789    ",NA,NA,NA,NA,NA,NA,"1.33077631573946"," 1234  7 90ABCDE       ",NA,NA,"2.85058109237569"," 123456"
"5","D_Sp_int2","1","3.74703615387835","  234","2.83165020167794","  2 4   8 0  CD   ","7.77194815686873"," 12345678      EFGH      ","5.81680824572497","   3456","12.5305015738523","   345 7 90ABCD    ","1.28731169731584"," 1 3 ","1.54961511928203"," 1 3 5 ","2.85005740842895"," 12 4 6  ",NA,NA,NA,NA,"1.27149669159019"," 1234567890ABCD  GH  ","1.20589343834543"," 1234567890A C   GH  KL  ","2.51622858979139","  2  567  0A  ",NA,NA,NA,NA,NA,NA,"1.69395737355089"," 123 567 90 B D FGHI   ",NA,NA,"5.81675871544918","   3456"
"6","E_Sp_old","1","4.27464629889909","  23 ","4.17731360375856","  2 456 89   C E  ","3.4151581482909"," 123   7 9 A C EF  IJK   ","3.12539458471507"," 12345 ","14.6928685951613","   34567890ABCDEFGH","9.01422705271333","   34","1.77778280050948"," 123456","5.62837784291154"," 12345678",NA,NA,NA,NA,"0.961296628661185"," 123   7 9 A C E G I ","0.785656329333364"," 123   7 9 AB  E G I K M ","2.45783173218396","  2  56   0 B ",NA,NA,NA,NA,NA,NA,"2.42629521748126"," 123456789 A  D FG  J  ",NA,NA,"3.12540753134411"," 12345 "
"7","A_Cm","2","0.826288904087877"," 123 ","0.253972933010557"," 1     7        F ","4.09848207204993"," 1234567890ABCDEFGHIJKLMN","2.32868049877778"," 123456","5.02606883972515"," 1234567890ABCDEFGH","0.505278603920788"," 1234","1.68095910558755"," 123456","2.70892034722953"," 12345678",NA,NA,NA,NA,"0.697808833274666","         90ABCDEFGHIJ","0.58403493129707","         90ABCDEFGHIJKLMN","1.03214360395012","   34   89    ",NA,NA,NA,NA,NA,NA,"1.46869023717758","   345  890ABC EF HIJKL",NA,NA,"2.32867528465301"," 123456"
"8","B_Sp_young","2","5.78465084038729","   34","1.03342664593411"," 1234567890ABCDEFG","4.99328854953964","   3 5 78    CDE G IJ LM ","2.44721885067863","  2 4 6","8.66458201794992","   34 6  90 B  EF  ","2.53832573337117","   34","1.87492071052977"," 123456","3.74010829388505","  2345678",NA,NA,NA,NA,"0.658890125787645","   3 5 78    CDEFGHIJ","0.62175143993747","   3 5 78        GHIJKLMN","1.98472983040404","      67890ABC",NA,NA,NA,NA,NA,NA,"2.03913419419373","  2      90A CD FGH JK ",NA,NA,"2.44722277314327","  2 4 6"
"9","C_Sp_int1","2","5.29499856852178","   34","2.01747026168095","  23456 890ABCDE G","4.9660970830639","  2   678  AB      I  L  ","2.69259060217095"," 123456","8.19591790069697"," 12      90A C E G ","3.32206397363285","   34","1.25714648379695","   34  ","3.0702205948672"," 123   7 ",NA,NA,NA,NA,"1.24165891723151","  2   678  AB    GHIJ","1.06407805687114","  2   678  A C EF    KLMN","2.56815049139849","     5    0ABC",NA,NA,NA,NA,NA,NA,"2.71625928093207","     56 8       FGHIJKL",NA,NA,"2.69259243316023"," 123456"
"10","D_Sp_int2","2","7.16172123631955","   34","2.47408071511625","  23456 890ABCDE G","13.8901544839512","         90ABCD    IJKLMN","7.2200478814577","    4 6","24.4733758102101","      6 8      EFGH","5.83752673694959","    4","6.16547923422693","  2 4 6","11.4948057469131","     5 78",NA,NA,NA,NA,"2.09608494455843","               EF  IJ","1.94167492399516","                   IJ  MN","3.30732716065403","            BC",NA,NA,NA,NA,NA,NA,"3.0794403387435","    4   8  A C E    JKL",NA,NA,"7.219987072464","    4 6"
