"","contrast","samcam","anc","anc","ancad","ancad","endo","endo","endad","endad","N","N","anc.juv","anc.juv","endo.juv","endo.juv","juv","juv","anc.bm","anc.bm","ancad.bm","ancad.bm","endo.bm","endo.bm","endad.bm","endad.bm","N.bm","N.bm","anc.juv.bm","anc.juv.bm","endo.juv.bm","endo.juv.bm","juv.bm","juv.bm","SR","SR","H","H","endad.old","endad.old"
"1","A_Cm - B_Sp_young","1","-0.68","0.861","-1.4","0.033","-0.3","0.997","-0.88","0.839","-0.37","0.972","18.38","1","0.59","0.986","0.63","0.968",NA,NA,NA,NA,"0.04","1","-0.04","1","-0.95","0.033",NA,NA,NA,NA,NA,NA,"-0.57","0.812",NA,NA,"-0.88","0.839"
"2","A_Cm - C_Sp_int1","1","-2.53","0.001","-2.07","0","-2.84","0.005","-2.51","0.016","-2.79","0","-3.53","0","-3.1","0.023","-3.3","0.001",NA,NA,NA,NA,"-0.54","0.588","-0.48","0.685","-1.54","0.001",NA,NA,NA,NA,NA,NA,"-1.25","0.198",NA,NA,"-2.51","0.016"
"3","A_Cm - D_Sp_int2","1","-2.24","0.004","-2.28","0","-2.37","0.031","-3.22","0","-2.43","0","-2.6","0.03","-1.08","0.84","-1.71","0.277",NA,NA,NA,NA,"-1.4","0.015","-1.36","0.018","-2.28","0",NA,NA,NA,NA,NA,NA,"-1.61","0.061",NA,NA,"-3.22","0"
"4","A_Cm - E_Sp_old","1","-2.37","0.002","-2.67","0","-1.55","0.456","-2.6","0.011","-2.59","0","-4.54","0","-1.22","0.845","-2.39","0.041",NA,NA,NA,NA,"-1.09","0.064","-0.94","0.131","-2.22","0",NA,NA,NA,NA,NA,NA,"-2.34","0.005",NA,NA,"-2.6","0.011"
"5","B_Sp_young - C_Sp_int1","1","-1.85","0.005","-0.67","0.565","-2.54","0.013","-1.63","0.142","-2.42","0","-21.91","1","-3.7","0.005","-3.93","0",NA,NA,NA,NA,"-0.58","0.634","-0.44","0.812","-0.58","0.359",NA,NA,NA,NA,NA,NA,"-0.68","0.792",NA,NA,"-1.63","0.142"
"6","B_Sp_young - D_Sp_int2","1","-1.56","0.039","-0.87","0.277","-2.07","0.072","-2.34","0.005","-2.05","0.002","-20.97","1","-1.67","0.54","-2.34","0.092",NA,NA,NA,NA,"-1.44","0.029","-1.32","0.047","-1.32","0.009",NA,NA,NA,NA,NA,NA,"-1.04","0.438",NA,NA,"-2.34","0.005"
"7","B_Sp_young - E_Sp_old","1","-1.69","0.021","-1.26","0.033","-1.25","0.692","-1.72","0.111","-2.21","0.001","-22.92","1","-1.81","0.632","-3.02","0.011",NA,NA,NA,NA,"-1.13","0.108","-0.9","0.251","-1.26","0.012",NA,NA,NA,NA,NA,NA,"-1.77","0.076",NA,NA,"-1.72","0.111"
"8","C_Sp_int1 - D_Sp_int2","1","0.29","0.974","-0.2","0.99","0.47","0.972","-0.71","0.791","0.36","0.96","0.94","0.38","2.03","0.232","1.59","0.285",NA,NA,NA,NA,"-0.85","0.285","-0.88","0.263","-0.74","0.177",NA,NA,NA,NA,NA,NA,"-0.36","0.97",NA,NA,"-0.71","0.791"
"9","C_Sp_int1 - E_Sp_old","1","0.16","0.998","-0.59","0.637","1.29","0.602","-0.09","1","0.2","0.996","-1.01","0.462","1.89","0.484","0.91","0.784",NA,NA,NA,NA,"-0.54","0.694","-0.46","0.804","-0.68","0.235",NA,NA,NA,NA,NA,NA,"-1.1","0.416",NA,NA,"-0.09","1"
"10","D_Sp_int2 - E_Sp_old","1","-0.13","0.999","-0.39","0.888","0.82","0.868","0.62","0.87","-0.16","0.998","-1.95","0.015","-0.14","1","-0.68","0.917",NA,NA,NA,NA,"0.31","0.94","0.42","0.846","0.06","1",NA,NA,NA,NA,NA,NA,"-0.73","0.743",NA,NA,"0.62","0.87"
