ID	Feld	C	N
1	DO_2004	1.0756	0.12228
2	DO_2004	0.98202	0.10304
3	DO_2004	1.0017	0.11142
4	DO_2004	1.0978	0.12486
5	DO_2004	1.0474	0.1177
6	HE_2004	2.4256	0.24551
7	HE_2004	2.4683	0.26288
8	HE_2004	2.3575	0.24858
9	HE_2004	2.5086	0.25734
10	HE_2004	2.5996	0.26741
11	DO_2005	1.3479	0.1108
12	DO_2005	1.4708	0.12528
13	DO_2005	1.344	0.11937
14	DO_2005	1.2318	0.106
15	DO_2005	1.5183	0.12522
16	DO_2007	1.3914	0.13107
17	DO_2007	1.3456	0.1405
18	DO_2007	1.1584	0.11831
19	DO_2007	1.2471	0.12491
20	DO_2007	1.2599	0.13309
21	EF_2007	1.9697	0.15244
22	EF_2007	2.0317	0.14857
23	EF_2007	1.8659	0.13955
24	EF_2007	1.7982	0.14725
25	EF_2007	2.5632	0.18092
26	PA_2007	2.6788	0.28691
27	PA_2007	2.5078	0.27229
28	PA_2007	2.8917	0.30831
29	PA_2007	2.4213	0.26351
30	PA_2007	2.1459	0.23833
31	DO_2009	1.1647	0.11933
32	DO_2009	1.128	0.12725
33	DO_2009	1.084	0.12096
34	DO_2009	1.106	0.11932
35	DO_2009	1.0781	0.1176
36	EF_2009	2.1573	0.13947
37	EF_2009	2.4246	0.18122
38	EF_2009	2.667	0.16396
39	EF_2009	2.5674	0.20093
40	EF_2009	2.2334	0.16174
41	PO_2009	1.0209	0.10289
42	PO_2009	1.0446	0.10758
43	PO_2009	1.1894	0.12402
44	PO_2009	1.2035	0.12866
45	PO_2009	1.1049	0.11015
46	EF_2011	2.4715	0.12157
47	EF_2011	2.2622	0.11362
48	EF_2011	2.2935	0.11436
49	EF_2011	2.5162	0.13439
50	EF_2011	2.4793	0.12468
51	ND_2011	2.4966	0.26164
52	ND_2011	2.536	0.25226
53	ND_2011	2.5177	0.26565
54	ND_2011	2.5711	0.26998
55	ND_2011	2.5647	0.28844
56	RO_2011	1.4488	0.13658
57	RO_2011	1.5427	0.146
58	RO_2011	1.4732	0.13653
59	RO_2011	1.4794	0.13736
60	RO_2011	1.3434	0.13012
61	DO_Mais	1.2504	0.14085
62	DO_Mais	1.3854	0.16602
63	DO_Mais	1.154	0.12573
64	DO_Mais	1.1998	0.13319
65	DO_Mais	1.0866	0.11915
66	ND_Mais	1.2696	0.13262
67	ND_Mais	1.309	0.13271
68	ND_Mais	1.3028	0.13746
69	ND_Mais	1.3311	0.1322
70	ND_Mais	1.3206	0.13529
71	RO_Mais	1.2807	0.15302
72	RO_Mais	1.4237	0.1459
73	RO_Mais	1.3344	0.13791
74	RO_Mais	1.4998	0.14695
75	RO_Mais	1.3484	0.13855
76	DO_2004	1.0756	0.12228
77	DO_2004	0.98202	0.10304
78	DO_2004	1.0017	0.11142
79	DO_2004	1.0978	0.12486
80	DO_2004	1.0474	0.1177
81	HE_2004	2.4256	0.24551
82	HE_2004	2.4683	0.26288
83	HE_2004	2.3575	0.24858
