Ort	Date	Season	year	T30_2m	T30_5cm	HUM30	TS30	PR30	RAY30	WIND30
Pahren	2012-09-19	Autumn	2012	15.80	16.82	69.39	16.00	2.15	4485.67	2.47
Dornburg	2012-09-17	Autumn	2012	16.97	17.51	67.42	19.07	1.52	3839.10	1.10
Dornburg	2012-09-18	Autumn	2012	16.60	17.16	68.08	18.86	1.91	3790.03	1.10
Erfurt	2012-10-16	Autumn	2012	11.85	10.47	75.37	12.79	1.12	2795.00	1.52
Niederdorla	2012-10-15	Autumn	2012	9.92	9.71	86.56	11.24	1.40	2705.47	0.77
Niederdorla	2012-11-08	Autumn	2012	7.11	6.75	89.54	7.86	1.13	1421.97	1.47
Hessberg	2012-10-17	Autumn	2012	9.03	9.69	78.81	11.66	2.28	2496.87	1.32
Pahren	2013-04-17	Spring	2013	1.49	1.95	76.77	2.10	0.57	3450.80	2.82
Dornburg	2013-04-15	Spring	2013	1.64	3.02	69.08	3.87	1.17	3145.20	1.79
Dornburg	2013-04-16	Spring	2013	2.07	3.49	70.01	4.19	1.17	3160.87	1.74
Erfurt	2013-04-23	Spring	2013	6.41	6.04	72.04	6.14	0.57	3428.53	1.95
Niederdorla	2013-04-22	Spring	2013	4.74	5.04	76.80	4.71	0.90	3621.97	3.01
Hessberg	2013-04-24	Spring	2013	4.97	5.53	71.06	5.04	0.91	3397.70	2.03
Pahren	2012-05-09	Spring	2012	10.05	10.85	70.81	8.85	1.19	4649.50	2.58
Dornburg	2012-05-08	Spring	2012	10.87	12.48	66.50	11.66	1.30	4153.93	1.39
Erfurt	2012-05-10	Spring	2012	12.47	11.76	69.13	11.88	1.48	4155.33	1.68
Hessberg	2012-05-09	Spring	2012	9.98	10.26	70.77	9.39	2.10	3986.93	1.57
Niederdorla	2012-05-11	Spring	2012	11.58	12.20	75.12	11.24	1.31	4365.07	2.10
Pahren	2013-10-07	Autumn	2013	10.34	11.59	78.70	12.51	2.49	2643.87	2.28
Dornburg	2013-10-08	Autumn	2013	11.02	13.39	73.71	15.11	1.72	2392.00	1.33
Dornburg	2013-10-09	Autumn	2013	11.03	13.31	73.38	14.97	0.72	2391.67	1.32
Erfurt	2013-10-14	Autumn	2013	10.59	9.82	83.10	12.27	0.91	2176.20	1.21
Erfurt	2013-10-15	Autumn	2013	10.46	9.66	83.28	12.06	1.12	2131.60	1.22
Niederdorla	2013-10-14	Autumn	2013	10.27	10.19	86.52	11.57	1.42	2295.40	1.87
Hessberg	2013-10-16	Autumn	2013	8.98	10.15	80.53	11.61	2.40	2234.80	1.20
Poppenburg	2012-10-23	Autumn	2012	10.41	10.65	84.22	11.47	1.60	2006.30	2.36
Ronnenberg	2012-10-23	Autumn	2012	11.81	11.86	82.77	12.03	3.00	2046.00	2.89
Poppenburg	2013-04-10	Spring	2013	-0.84	-0.73	78.22	1.33	0.45	3021.57	2.93
Ronnenberg	2013-04-10	Spring	2013	0.08	1.60	76.85	1.60	0.41	3037.40	3.36
Poppenburg	2012-05-03	Spring	2012	8.75	9.29	74.36	9.27	0.73	3894.77	2.49
Ronnenberg	2012-05-03	Spring	2012	9.90	9.07	74.59	8.95	0.82	3704.70	2.71
Poppenburg	2013-10-01	Autumn	2013	12.51	12.91	84.33	14.69	1.41	2695.27	2.00
Ronnenberg	2013-11-30	Autumn	2013	5.65	5.11	87.52	8.15	1.95	818.47	2.07
Ronnenberg Col	2013-10-01	Autumn	2013	13.70	13.43	81.69	14.44	1.27	2755.87	1.89
