Ort	Date	Season	year	Tday2m	Tday5cm	HUMday	TSday	PRday	RAYday	WINDday
Pahren	2012-09-19	Autumn	2012	9.98	11.52	72.06	13.83	5.00	4376.00	2.73
Dornburg	2012-09-17	Autumn	2012	14.78	14.84	71.10	16.25	0.00	3329.00	0.71
Dornburg	2012-09-18	Autumn	2012	16.29	16.58	69.24	16.55	11.20	4130.00	1.39
Erfurt	2012-10-16	Autumn	2012	8.88	7.19	73.82	8.88	0.00	2836.00	1.73
Niederdorla	2012-10-15	Autumn	2012	7.14	7.13	96.00	8.88	0.90	864.00	1.15
Niederdorla	2012-11-08	Autumn	2012	7.87	7.45	81.59	6.97	0.00	390.00	2.83
Hessberg	2012-10-17	Autumn	2012	9.50	9.14	76.25	9.59	0.00	2299.00	1.41
Pahren	2013-04-17	Spring	2013	14.95	15.03	63.46	9.49	0.00	5374.00	2.20
Dornburg	2013-04-15	Spring	2013	17.30	17.13	49.63	11.02	0.00	6042.00	1.47
Dornburg	2013-04-16	Spring	2013	15.00	15.41	65.29	12.14	0.00	3368.00	0.73
Erfurt	2013-04-23	Spring	2013	13.88	12.85	59.55	11.76	0.00	4577.00	2.12
Niederdorla	2013-04-22	Spring	2013	10.27	10.04	72.48	10.03	0.00	2239.00	1.87
Hessberg	2013-04-24	Spring	2013	11.23	13.46	68.78	10.81	0.00	6076.00	1.14
Pahren	2012-05-09	Spring	2012	14.61	14.90	73.92	11.84	0.00	4899.00	3.07
Dornburg	2012-05-08	Spring	2012	13.97	15.55	68.79	14.51	0.10	5510.00	0.90
Erfurt	2012-05-10	Spring	2012	21.08	19.59	67.00	15.85	0.00	5630.00	1.94
Hessberg	2012-05-09	Spring	2012	14.29	13.88	80.46	13.16	2.00	2383.00	1.23
Niederdorla	2012-05-11	Spring	2012	20.35	19.79	73.50	16.06	3.80	4526.00	2.35
Pahren	2013-10-07	Autumn	2013	11.63	12.10	88.58	11.13	0.00	1075.00	0.90
Dornburg	2013-10-08	Autumn	2013	12.58	13.78	71.00	13.97	0.00	1849.00	0.46
Dornburg	2013-10-09	Autumn	2013	12.93	13.70	70.58	14.13	0.80	2096.00	1.30
Erfurt	2013-10-14	Autumn	2013	7.01	6.19	91.38	8.07	0.00	1298.00	0.90
Erfurt	2013-10-15	Autumn	2013	10.98	9.76	85.33	9.68	6.40	1289.00	1.44
Niederdorla	2013-10-14	Autumn	2013	5.49	5.34	96.71	7.56	5.10	1341.00	0.63
Hessberg	2013-10-16	Autumn	2013	7.19	8.28	90.38	9.47	0.10	679.00	0.83
Poppenburg	2012-10-23	Autumn	2012	9.86	10.29	97.45	11.98	0.00	472.00	1.81
Ronnenberg	2012-10-23	Autumn	2012	10.85	12.33	94.55	12.53	0.00	383.00	3.64
Poppenburg	2013-04-10	Spring	2013	6.57	6.75	91.57	4.75	1.40	2119.00	1.79
Ronnenberg	2013-04-10	Spring	2013	7.43	5.65	90.15	5.24	0.80	1739.00	2.10
Poppenburg	2012-05-03	Spring	2012	14.86	15.41	81.05	15.11	3.00	4059.00	1.91
Ronnenberg	2012-05-03	Spring	2012	15.56	14.68	82.10	14.46	3.10	2846.00	1.85
Poppenburg	2013-10-01	Autumn	2013	6.28	6.37	77.22	10.49	0.00	3834.00	2.14
Ronnenberg	2013-11-30	Autumn	2013	5.00	5.90	91.15	6.15	0.50	204.00	2.47
Ronnenberg Col	2013-10-01	Autumn	2013	6.58	10.37	76.06	10.86	0.00	3965.00	2.03
