ACA_BM	ACH_BM	ALO_BM	ARO_BM	END_BM	LCA_BM	LRU_BM	LTR_BM	LUM_BM	OCY_BM	OLA_BM	UNK_BM
0	0	0	0	0	0	0	10.49	0	0	0	0
0	0	0	0	0.469	0	0	11.191	0	0	0	0
0	0.667	0	0.731	0	0	0	12.612	0	0	0	0
0	0	0	0.083	0	0	0	6.348	0	0	1.548	0
0.383	0	0	0.186	0.158	0	0	24.427	0	0	0	0
0	0	0	0.201	0	0	0	15.068	0.321	0	0	0
2.978	0	0	0	0.141	0	0	14.495	0.083	0	0	0
0	0	0	0.63	0.452	0	0	17.76	0	0	0	0
2.303	0.975	0	0.291	0.917	0	0	5.276	1.135	0	0	0
1.262	0.23	0	0.2586	2.034	0.228	0.623	0	1.087	0	0	0
1.482	0.76	0	1.947	1.131	0	0	3.836	0.294	0	0	0
0.644	2.022	0	0.334	0.595	0	0	6.276	0.398	0	0	0
0.957	0	0	0	0	0	0	0	0	0	0.229	0
0.461	0	0	0.148	0.125	0	0	8.773	0	0	2.551	0
0	0	0	0.254	0	0	0	11.444	0	0	0	0
1.534	0	0	0.226	0	0	0	17.566	0	0	1.698	0
1.019	0	0	0	0.668	0	0	21.339	0	0.489	0	0
3.21	0	0	0	0	0	0	12.042	0	0	0	0
9.144	0	0	0	0.521	0	0	24.164	0	3.217	0	0
5.253	0	0	0	0.407	0	0	6.68	0	0	0	0
7.019	0	0	0	0.823	0	0	3.085	0	0	0	0
4.351	0	0	0	0.396	0	0	2.032	0	0	0	0
20.376	0	0	0	0.299	0	0	3.892	0	0	0	0
5.394	0	0	0	0	0	0	0	0	0	0	0
0.172	0	0	0	0.059	0	0	0	0	0	0	0
3.618	0	0	0.4	0.148	0	0	8.186	0	0	0	0
3.355	0	0	0.538	0	0	0	5.745	0	0	0	0
0	0	0	0.107	0	0	0	0	0	0	0	0
1.251	0	0	0	0	0	0	13.574	0	0	0	0
0	0	0	0	0	0	0	7.795	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
1.772	0	4.297	0	1.166	0	0	7.656	0	0	0	0
0.509	0	11.429	0.383	2.83	0	0	12.214	0	0	0	0
0	0	11.726	0.391	0.888	0	0	9.2046	0	0	0	0
0	0	2.44	0.788	0.732	0	0	5.115	0	0	0	0
0	0	0	0.323	0.149	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	4.356	0	0	0	0
0	0	0	0	0.022	0	0	5.604	0	0	0	0
0	0	0	0	0	0	0	4.438	0	0	0	0
0	0	0	0.304	0	0	0	0	0	0	0	0
0.566	0	0	0.371	0	0	0	16.065	0	0	0	0
1.031	0.379	0	0.349	0.029	0	0	4.594	0	0	0	0
0	0	0	0	0	0	0	4.556	0	0	0	0
0.259	0	0	0	0	0	0	6.48	0	0	0	0
0	0	0	0	0	0	0	8.75	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0.543	0	0	0	0.555	0	0	0	0	0	0	0
0.645	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0.289	0	0	0	0	0	0	0	0
0.725	0	0	0	0.537	0	0	2.196	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	6.475	0	0	0	0
0	0	0	0	0	0	0	0.506	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	3.533	0	0	0	0
3.2439	0	0	0	0	0	0	10.8733	0	0	2.0268	0
0.7423	0	0	0.3899	0	0	0	5.0558	0	0	0	0
1.7183	0	0	0	0.5078	0	0	16.9025	0	0	0	0
1.7968	0	0	0	0	0	0	23.0454	0	0	0	0
0	0	0	1.8103	0	0	0	37.0456	0	0	0	0
0.2126	0	0	0.7956	0.0257	0	0	22.50542	0	0	0	0
0	0	0	0	0	0	0	12.5129	0	0	0	0
0.3622	0	0	0.34	0.0532	0	0	8.1593	0	0	0	0
2.3482	4.2529	0	8.2399	4.2014	0.29	0	26.44	0	0	1.9367	0
4.3624	3.0867	0	11.0219	4.0918	0.531	0	13.5511	0	0	0	0
4.2187	5.3869	0	8.1358	2.2236	0.3847	0.8158	17.3613	0.0985	1.0223	0.9384	0.1693
7.9131	4.3225	0	6.1182	2.0886	0.7531	0	20.4233	0.1238	0	0.2971	0
2.5333	0	0	1.0182	0.4641	0	0	23.5489	0	0	1.372	0
4.9449	0	0	0.5974	0	0	0	2.012	0	0	0	0
3.4303	0	0	0	0.0341	0	0	18.0848	0	0	0	0
3.5781	0	0	0	0	0	0	20.5401	0	0	0.9551	0
4.518	0	0	0	0.8764	0	0	16.3319	0	0	0	0
4.8371	0	0	0	0	0	0	22.0615	0	0	0	0
5.0752	0	0	0	0	0	0	34.4177	0	0	0	0
4.1419	0	0	0	0.125	0	0	23.6571	0	0	0	0
14.8968	0	0	0	0.1899	0	0	0	0	0	0	1.997
9.9651	0	0	0.1641	0.7379	1.4345	0	1.5378	0	0	0	0.7809
11.921	0	0	0.1312	1.5455	1.1475	0	0	0	0	0	0
