soil_coverage	soil_tillage	fertilisation	weed_control	soil_compaction	compaction
50x50	0	3	2	1	1
50x50	0	3	2	1	1
50x50	0	3	2	1	1
50x50	0	3	2	1	1
50x50	0	3	2	2	2
50x50	0	3	2	2	2
50x50	0	3	2	2	2
50x50	0	3	2	2	2
50x50	0	3	2	2	2
50x50	0	3	2	2	2
50x50	0	3	2	2	2
50x50	0	3	2	2	2
50x50	0	3	2	2	2
50x50	0	3	2	2	2
50x50	0	3	2	2	2
50x50	0	3	2	2	2
90x50	0	3	1	2	2
90x50	0	3	1	2	2
90x50	0	3	1	2	2
90x50	0	3	1	2	2
50x50	0	4	3	4	2
50x50	0	4	3	4	2
50x50	0	4	3	4	2
50x50	0	4	3	4	2
50x50	0	3	2	2	2
50x50	0	3	2	2	2
50x50	0	3	2	2	2
50x50	0	3	2	2	2
90x50	0	3	1	3	2
90x50	0	3	1	3	2
90x50	0	3	1	3	2
90x50	0	3	1	3	2
50x50	0	3	2	3	2
50x50	0	3	2	3	2
50x50	0	3	2	3	2
50x50	0	3	2	3	2
90x50	0	3	4	4	2
90x50	0	3	4	4	2
90x50	0	3	4	4	2
90x50	0	3	4	4	2
50x50	0	2	4	4	3
50x50	0	2	4	4	3
50x50	0	2	4	4	3
50x50	0	2	4	4	3
60x60	0	4	4	5	3
60x60	0	4	4	5	3
60x60	0	4	4	5	3
60x60	0	4	4	5	3
75x20	1	2	3	6	2
75x20	1	2	3	6	2
75x20	1	2	3	6	2
75x20	1	2	3	6	2
75x20	1	3	3	6	3
75x20	1	3	3	6	3
75x20	1	3	3	6	3
75x20	1	3	3	6	3
75x20	1	4	3	6	3
75x20	1	4	3	6	3
75x20	1	4	3	6	3
75x20	1	4	3	6	3
50x50	0	3	1	1	1
50x50	0	3	1	1	1
50x50	0	3	1	1	1
50x50	0	3	1	1	1
50x50	0	3	2	2	2
50x50	0	3	2	2	2
50x50	0	3	2	2	2
50x50	0	3	2	2	2
50x50	0	3	1	2	2
50x50	0	3	1	2	2
50x50	0	3	1	2	2
50x50	0	3	1	2	2
50x50	0	3	1	2	2
50x50	0	3	1	2	2
50x50	0	3	1	2	2
50x50	0	3	1	2	2
90x50	0	3	1	2	2
90x50	0	3	1	2	2
90x50	0	3	1	2	2
90x50	0	3	1	2	2
50x50	0	4	3	4	2
50x50	0	4	3	4	2
50x50	0	4	3	4	2
50x50	0	4	3	4	2
50x50	0	4	1	3	2
50x50	0	4	1	3	2
50x50	0	4	1	3	2
50x50	0	4	1	3	2
90x50	0	3	1	3	2
90x50	0	3	1	3	2
90x50	0	3	1	3	2
90x50	0	3	1	3	2
50x50	0	3	2	2	2
50x50	0	3	2	2	2
50x50	0	3	2	2	2
50x50	0	3	2	2	2
90x50	0	3	1	3	2
90x50	0	3	1	3	2
90x50	0	3	1	3	2
90x50	0	3	1	3	2
50x50	0	2	2	3	3
50x50	0	2	2	3	3
50x50	0	2	2	3	3
50x50	0	2	2	3	3
60x60	0	4	4	4	3
60x60	0	4	4	4	3
60x60	0	4	4	4	3
60x60	0	4	4	4	3
75x20	1	3	3	6	3
75x20	1	3	3	6	3
75x20	1	3	3	6	3
75x20	1	3	3	6	3
75x24	1	4	3	6	3
75x24	1	4	3	6	3
75x24	1	4	3	6	3
75x24	1	4	3	6	3
75x20	1	4	3	6	3
75x20	1	4	3	6	3
75x20	1	4	3	6	3
75x20	1	4	3	6	3
50x50	0	3	1	1	1
50x50	0	3	1	1	1
50x50	0	3	1	1	1
50x50	0	3	1	1	1
50x50	0	3	2	2	2
50x50	0	3	2	2	2
50x50	0	3	2	2	2
50x50	0	3	2	2	2
50x50	0	3	1	2	2
50x50	0	3	1	2	2
50x50	0	3	1	2	2
50x50	0	3	1	2	2
50x50	0	3	1	2	2
50x50	0	3	1	2	2
50x50	0	3	1	2	2
50x50	0	3	1	2	2
90x50	0	3	1	2	2
90x50	0	3	1	2	2
90x50	0	3	1	2	2
90x50	0	3	1	2	2
50x50	0	4	3	4	2
50x50	0	4	3	4	2
50x50	0	4	3	4	2
50x50	0	4	3	4	2
50x50	0	4	1	3	2
50x50	0	4	1	3	2
50x50	0	4	1	3	2
50x50	0	4	1	3	2
90x50	0	3	1	3	2
90x50	0	3	1	3	2
90x50	0	3	1	3	2
90x50	0	3	1	3	2
50x50	0	3	2	2	2
50x50	0	3	2	2	2
50x50	0	3	2	2	2
50x50	0	3	2	2	2
90x50	0	3	1	3	2
90x50	0	3	1	3	2
90x50	0	3	1	3	2
90x50	0	3	1	3	2
50x50	0	2	2	3	3
50x50	0	2	2	3	3
50x50	0	2	2	3	3
50x50	0	2	2	3	3
60x60	0	4	4	4	3
60x60	0	4	4	4	3
60x60	0	4	4	4	3
60x60	0	4	4	4	3
75x20	1	3	3	6	3
75x20	1	3	3	6	3
75x20	1	3	3	6	3
75x20	1	3	3	6	3
75x24	1	4	3	6	3
75x24	1	4	3	6	3
75x24	1	4	3	6	3
75x24	1	4	3	6	3
75x20	1	4	3	6	3
75x20	1	4	3	6	3
75x20	1	4	3	6	3
75x20	1	4	3	6	3
