ID	field.ID	location	field	dgO	dgN	area	WRB	BO_Syst	soty	crop	age_class	age	y_est	samcam	season	year	date	hole	ACA	ACH	ALO	ARO	END	LCA	LRU	LTR	LUM	OCY	OLA	UNK	ACA_BM	ACH_BM	ALO_BM	ARO_BM	END_BM	LCA_BM	LRU_BM	LTR_BM	LUM_BM	OCY_BM	OLA_BM	UNK_BM	pH	mc	cn	sand	silt	clay	ata1	atb1	hum1	ats1	prec1	rad1	ata2	atb2	hum2	ats2	prec2	rad2	soil_coverage	soil_tillage	fertilisation	weed_control	soil_compaction	compaction
1	1	Dornburg	DO_2004	11.658097	51.003187	219	Mollic_Leptosol	BB-RR	uuT	Silphie	E_Sp_old	8	2004	1	autumn	2012	18.09.2012	1	0	0	0	0	0	0	0	3	0	0	0	3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.490	0.000	0.000	0.000	0	5.29	13.14	8.33	10.8	55.2	34	16.95	17.48	67.48	18.98	1.85	3849	16.29	16.58	69.24	16.55	11.20	4130	50x50	0	3	2	1	1
2	1	Dornburg	DO_2004	11.658097	51.003187	219	Mollic_Leptosol	BB-RR	uuT	Silphie	E_Sp_old	8	2004	1	autumn	2012	18.09.2012	2	0	0	0	0	1	0	0	3	0	0	0	0	0.000	0.000	0.000	0.000	0.469	0.000	0.000	11.191	0.000	0.000	0.000	0	5.29	13.14	8.33	10.8	55.2	34	16.95	17.48	67.48	18.98	1.85	3849	16.29	16.58	69.24	16.55	11.20	4130	50x50	0	3	2	1	1
3	1	Dornburg	DO_2004	11.658097	51.003187	219	Mollic_Leptosol	BB-RR	uuT	Silphie	E_Sp_old	8	2004	1	autumn	2012	18.09.2012	3	0	1	0	2	0	0	0	3	0	0	0	0	0.000	0.667	0.000	0.731	0.000	0.000	0.000	12.612	0.000	0.000	0.000	0	5.29	13.14	8.33	10.8	55.2	34	16.95	17.48	67.48	18.98	1.85	3849	16.29	16.58	69.24	16.55	11.20	4130	50x50	0	3	2	1	1
4	1	Dornburg	DO_2004	11.658097	51.003187	219	Mollic_Leptosol	BB-RR	uuT	Silphie	E_Sp_old	8	2004	1	autumn	2012	18.09.2012	4	0	0	0	1	0	0	0	4	0	0	2	0	0.000	0.000	0.000	0.083	0.000	0.000	0.000	6.348	0.000	0.000	1.548	0	5.29	13.14	8.33	10.8	55.2	34	16.95	17.48	67.48	18.98	1.85	3849	16.29	16.58	69.24	16.55	11.20	4130	50x50	0	3	2	1	1
5	2	Hessberg	HE_2004	10.78191	50.414685	285	Terra_Fusca	CFn	uT	Silphie	E_Sp_old	8	2004	1	autumn	2012	17.10.2012	1	1	0	0	2	2	0	0	6	0	0	0	2	0.383	0.000	0.000	0.186	0.158	0.000	0.000	24.427	0.000	0.000	0.000	0	7.01	15.54	8.98	12.3	50.4	37.3	9.03	9.69	78.81	11.66	2.28	2497	9.50	9.14	9.59	76.25	0.00	2299	50x50	0	3	2	2	2
6	2	Hessberg	HE_2004	10.78191	50.414685	285	Terra_Fusca	CFn	uT	Silphie	E_Sp_old	8	2004	1	autumn	2012	17.10.2012	2	0	0	0	1	0	0	0	4	2	0	0	3	0.000	0.000	0.000	0.201	0.000	0.000	0.000	15.068	0.321	0.000	0.000	0	7.01	15.54	8.98	12.3	50.4	37.3	9.03	9.69	78.81	11.66	2.28	2497	9.50	9.14	9.59	76.25	0.00	2299	50x50	0	3	2	2	2
7	2	Hessberg	HE_2004	10.78191	50.414685	285	Terra_Fusca	CFn	uT	Silphie	E_Sp_old	8	2004	1	autumn	2012	17.10.2012	3	2	0	0	0	2	0	0	6	1	0	0	1	2.978	0.000	0.000	0.000	0.141	0.000	0.000	14.495	0.083	0.000	0.000	0	7.01	15.54	8.98	12.3	50.4	37.3	9.03	9.69	78.81	11.66	2.28	2497	9.50	9.14	9.59	76.25	0.00	2299	50x50	0	3	2	2	2
8	2	Hessberg	HE_2004	10.78191	50.414685	285	Terra_Fusca	CFn	uT	Silphie	E_Sp_old	8	2004	1	autumn	2012	17.10.2012	4	0	0	0	5	1	0	0	7	0	0	0	1	0.000	0.000	0.000	0.630	0.452	0.000	0.000	17.760	0.000	0.000	0.000	0	7.01	15.54	8.98	12.3	50.4	37.3	9.03	9.69	78.81	11.66	2.28	2497	9.50	9.14	9.59	76.25	0.00	2299	50x50	0	3	2	2	2
9	3	Dornburg	DO_2005	11.656257	51.003652	921	Mollic_Leptosol	BB-RR	uuT	Silphie	E_Sp_old	7	2005	1	autumn	2012	18.09.2012	1	8	5	0	2	14	0	0	1	4	0	0	1	2.303	0.975	0.000	0.291	0.917	0.000	0.000	5.276	1.135	0.000	0.000	0	4.85	14.09	10.95	6.1	63	30.9	16.95	17.48	67.48	18.98	1.85	3849	16.29	16.58	69.24	16.55	11.20	4130	50x50	0	3	2	2	2
10	3	Dornburg	DO_2005	11.656257	51.003652	921	Mollic_Leptosol	BB-RR	uuT	Silphie	E_Sp_old	7	2005	1	autumn	2012	18.09.2012	2	7	1	0	3	46	1	2	0	5	0	0	0	1.262	0.230	0.000	0.259	2.034	0.228	0.623	0.000	1.087	0.000	0.000	0	4.85	14.09	10.95	6.1	63	30.9	16.95	17.48	67.48	18.98	1.85	3849	16.29	16.58	69.24	16.55	11.20	4130	50x50	0	3	2	2	2
