ID	fieldID	field	hole	ALOad	ALOj	LTRad	LTRj
1	1	DO_2004	1	0	0	3	0
2	1	DO_2004	2	0	0	3	0
3	1	DO_2004	3	0	0	2	1
4	1	DO_2004	4	0	0	2	2
5	2	HE_2004	1	0	0	5	1
6	2	HE_2004	2	0	0	4	0
7	2	HE_2004	3	0	0	2	4
8	2	HE_2004	4	0	0	4	3
9	3	DO_2005	1	0	0	1	0
10	3	DO_2005	2	0	0	0	0
11	3	DO_2005	3	0	0	0	2
12	3	DO_2005	4	0	0	1	1
13	4	DO_2007	1	0	0	0	0
14	4	DO_2007	2	0	0	2	0
15	4	DO_2007	3	0	0	3	0
16	4	DO_2007	4	0	0	3	0
17	5	EF_2007	1	0	0	5	1
18	5	EF_2007	2	0	0	3	3
19	5	EF_2007	3	0	0	5	3
20	5	EF_2007	4	0	0	2	2
21	6	PA_2007	1	0	0	0	2
22	6	PA_2007	2	0	0	0	1
23	6	PA_2007	3	0	0	1	1
24	6	PA_2007	4	0	0	0	0
25	7	DO_2009	1	0	0	0	0
26	7	DO_2009	2	0	0	1	1
27	7	DO_2009	3	0	0	1	1
28	7	DO_2009	4	0	0	0	0
29	8	EF_2009	1	0	0	2	1
30	8	EF_2009	2	0	0	1	0
31	8	EF_2009	3	0	0	0	0
32	8	EF_2009	4	0	0	0	0
33	9	PO_2009	1	6	0	1	9
34	9	PO_2009	2	7	0	2	9
35	9	PO_2009	3	11	0	2	6
36	9	PO_2009	4	3	0	0	6
37	10	EF_2011	1	0	0	0	0
38	10	EF_2011	2	0	0	0	0
39	10	EF_2011	3	0	0	1	0
40	10	EF_2011	4	0	0	1	0
41	11	ND_2011	1	0	0	1	0
42	11	ND_2011	2	0	0	0	0
43	11	ND_2011	3	0	0	3	0
44	11	ND_2011	4	0	0	1	0
45	12	RO_2011	1	0	0	1	0
46	12	RO_2011	2	0	0	1	0
47	12	RO_2011	3	0	0	2	0
48	12	RO_2011	4	0	0	0	0
49	13	DO_Mais	1	0	0	0	0
50	13	DO_Mais	2	0	0	0	0
51	13	DO_Mais	3	0	0	0	0
52	13	DO_Mais	4	0	0	0	0
53	14	ND_Mais	1	0	0	1	0
54	14	ND_Mais	2	0	0	0	0
55	14	ND_Mais	3	0	0	0	0
56	14	ND_Mais	4	0	0	0	0
57	15	RO_Mais	1	0	0	1	1
58	15	RO_Mais	2	0	0	0	1
59	15	RO_Mais	3	0	0	0	0
60	15	RO_Mais	4	0	0	2	0
61	1	DO_2004	1	0	0	3	1
62	1	DO_2004	2	0	0	1	0
63	1	DO_2004	3	0	0	4	0
64	1	DO_2004	4	0	0	4	1
65	2	HE_2004	1	0	0	9	5
66	2	HE_2004	2	0	0	5	2
67	2	HE_2004	3	0	0	6	0
68	2	HE_2004	4	0	0	2	1
69	3	DO_2005	1	0	0	4	2
70	3	DO_2005	2	0	0	3	2
71	3	DO_2005	3	0	0	6	4
72	3	DO_2005	4	0	0	3	0
73	4	DO_2007	1	0	0	6	0
74	4	DO_2007	2	0	0	1	3
75	4	DO_2007	3	0	0	3	3
76	4	DO_2007	4	0	0	4	1
77	5	EF_2007	1	0	0	3	0
78	5	EF_2007	2	0	0	4	6
