ID	fieldID	field	hole	ALOad	ALOj	LTRad	LTRj
1	1	DO_2004	1	0	0	10.49	0
2	1	DO_2004	2	0	0	11.191	0
3	1	DO_2004	3	0	0	11.485	1.127
4	1	DO_2004	4	0	0	3.778	2.57
5	2	HE_2004	1	0	0	23.415	1.012
6	2	HE_2004	2	0	0	15.068	0
7	2	HE_2004	3	0	0	9.913	4.582
8	2	HE_2004	4	0	0	16.685	1.075
9	3	DO_2005	1	0	0	5.276	0
10	3	DO_2005	2	0	0	0	0
11	3	DO_2005	3	0	0	0	3.836
12	3	DO_2005	4	0	0	4.27	2.006
13	4	DO_2007	1	0	0	0	0
14	4	DO_2007	2	0	0	8.773	0
15	4	DO_2007	3	0	0	11.444	0
16	4	DO_2007	4	0	0	17.566	0
17	5	EF_2007	1	0	0	20.214	1.125
18	5	EF_2007	2	0	0	10.009	2.033
19	5	EF_2007	3	0	0	23.261	0.903
20	5	EF_2007	4	0	0	5.224	1.456
21	6	PA_2007	1	0	0	0	3.085
22	6	PA_2007	2	0	0	0	2.032
23	6	PA_2007	3	0	0	2.618	1.274
24	6	PA_2007	4	0	0	0	0
25	7	DO_2009	1	0	0	0	0
26	7	DO_2009	2	0	0	6.868	1.318
27	7	DO_2009	3	0	0	4.337	1.408
28	7	DO_2009	4	0	0	0	0
29	8	EF_2009	1	0	0	13.466	0.108
30	8	EF_2009	2	0	0	7.795	0
31	8	EF_2009	3	0	0	0	0
32	8	EF_2009	4	0	0	0	0
33	9	PO_2009	1	4.297	0	3.744	3.912
34	9	PO_2009	2	11.429	0	8.584	3.63
35	9	PO_2009	3	11.726	0	5.526	3.6786
36	9	PO_2009	4	2.44	0	0	5.115
37	10	EF_2011	1	0	0	0	0
38	10	EF_2011	2	0	0	0	0
39	10	EF_2011	3	0	0	4.356	0
40	10	EF_2011	4	0	0	5.604	0
41	11	ND_2011	1	0	0	4.438	0
42	11	ND_2011	2	0	0	0	0
43	11	ND_2011	3	0	0	16.065	0
44	11	ND_2011	4	0	0	4.594	0
45	12	RO_2011	1	0	0	4.556	0
46	12	RO_2011	2	0	0	6.48	0
47	12	RO_2011	3	0	0	8.75	0
48	12	RO_2011	4	0	0	0	0
49	13	DO_Mais	1	0	0	0	0
50	13	DO_Mais	2	0	0	0	0
51	13	DO_Mais	3	0	0	0	0
52	13	DO_Mais	4	0	0	0	0
53	14	ND_Mais	1	0	0	2.196	0
54	14	ND_Mais	2	0	0	0	0
55	14	ND_Mais	3	0	0	0	0
56	14	ND_Mais	4	0	0	0	0
57	15	RO_Mais	1	0	0	4.873	1.602
58	15	RO_Mais	2	0	0	0	0.506
59	15	RO_Mais	3	0	0	0	0
60	15	RO_Mais	4	0	0	3.533	0
61	1	DO_2004	1	0	0	10.766	0.1073
62	1	DO_2004	2	0	0	5.0558	0
63	1	DO_2004	3	0	0	16.9025	0
64	1	DO_2004	4	0	0	22.9418	0.1036
65	2	HE_2004	1	0	0	35.0114	2.0342
66	2	HE_2004	2	0	0	21.76152	0.7439
67	2	HE_2004	3	0	0	12.5129	0
68	2	HE_2004	4	0	0	7.5813	0.578
69	3	DO_2005	1	0	0	24.59	1.85
70	3	DO_2005	2	0	0	11.55	2.0011
71	3	DO_2005	3	0	0	14.5258	2.8355
72	3	DO_2005	4	0	0	20.4233	0
73	4	DO_2007	1	0	0	23.5489	0
74	4	DO_2007	2	0	0	1.8095	0.2025
75	4	DO_2007	3	0	0	17.8478	0.237
76	4	DO_2007	4	0	0	20.4474	0.0927
77	5	EF_2007	1	0	0	16.3319	0
78	5	EF_2007	2	0	0	19.6911	2.3704
79	5	EF_2007	3	0	0	32.3708	2.0469
80	5	EF_2007	4	0	0	21.9466	1.7105
81	6	PA_2007	1	0	0	0	0
82	6	PA_2007	2	0	0	1.5378	0
83	6	PA_2007	3	0	0	0	0
84	6	PA_2007	4	0	0	0	0
85	7	DO_2009	1	0	0	10.826	0
86	7	DO_2009	2	0	0	13.1915	0.338
87	7	DO_2009	3	0	0	8.033	0
88	7	DO_2009	4	0	0	0	0
89	8	EF_2009	1	0	0	0	0
90	8	EF_2009	2	0	0	0	0.5081
91	8	EF_2009	3	0	0	0	0.1161
92	8	EF_2009	4	0	0	8.6353	0.0629
93	9	PO_2009	1	0	0.7126	11.8818	1.3049
94	9	PO_2009	2	0	4.4132	26.1746	1.2213
95	9	PO_2009	3	0.7775	3.8804	8.6585	2.695
96	9	PO_2009	4	1.338	3.216	7.0872	1.0893
