season	year	ID	fieldID	field	hole	ACAad	ACAj	ACHad	ACHj	AROad	AROj	ENDad	ENDj	OCYa	OCYj	OLA
autumn	2012	1	1	DO_2004	1	0	0	0	0	0	0	0	0	0	0	0
autumn	2012	2	1	DO_2004	2	0	0	0	0	0	0	0	1	0	0	0
autumn	2012	3	1	DO_2004	3	0	0	1	0	2	0	0	0	0	0	0
autumn	2012	4	1	DO_2004	4	0	0	0	0	1	0	0	0	0	0	2
autumn	2012	5	2	HE_2004	1	1	0	0	0	1	1	0	2	0	0	0
autumn	2012	6	2	HE_2004	2	0	0	0	0	1	0	0	0	0	0	0
autumn	2012	7	2	HE_2004	3	2	0	0	0	0	0	0	2	0	0	0
autumn	2012	8	2	HE_2004	4	0	0	0	0	5	0	0	1	0	0	0
autumn	2012	9	3	DO_2005	1	6	2	4	1	2	0	0	14	0	0	0
autumn	2012	10	3	DO_2005	2	2	5	1	0	2	1	0	46	0	0	0
autumn	2012	11	3	DO_2005	3	4	3	3	0	16	2	0	20	0	0	0
autumn	2012	12	3	DO_2005	4	1	2	9	0	3	0	0	12	0	0	0
autumn	2012	13	4	DO_2007	1	1	0	0	0	0	0	0	0	0	0	1
autumn	2012	14	4	DO_2007	2	1	0	0	0	1	0	0	1	0	0	1
autumn	2012	15	4	DO_2007	3	0	0	0	0	1	0	0	0	0	0	0
autumn	2012	16	4	DO_2007	4	2	0	0	0	1	0	0	0	0	0	1
autumn	2012	17	5	EF_2007	1	1	0	0	0	0	0	0	2	1	1	0
autumn	2012	18	5	EF_2007	2	4	0	0	0	0	0	0	0	0	0	0
autumn	2012	19	5	EF_2007	3	7	0	0	0	0	0	0	2	4	0	0
autumn	2012	20	5	EF_2007	4	4	0	0	0	0	0	0	1	0	0	0
autumn	2012	21	6	PA_2007	1	21	0	0	0	0	0	0	10	0	0	0
autumn	2012	22	6	PA_2007	2	12	0	0	0	0	0	0	5	0	0	0
autumn	2012	23	6	PA_2007	3	33	0	0	0	0	0	0	2	0	0	0
autumn	2012	24	6	PA_2007	4	9	0	0	0	0	0	0	0	0	0	0
autumn	2012	25	7	DO_2009	1	1	0	0	0	1	0	0	1	0	0	0
autumn	2012	26	7	DO_2009	2	3	0	0	0	2	0	0	2	0	0	0
autumn	2012	27	7	DO_2009	3	4	0	0	0	3	0	0	0	0	0	0
