season	year	ID	fieldID	field	hole	ACAad	ACAj	ACHad	ACHj	AROad	AROj	ENDad	ENDj	OCYa	OCYj	OLA
autumn	2012	1	1	DO_2004	1	0	0	0	0	0	0	0	0	0	0	0
autumn	2012	2	1	DO_2004	2	0	0	0	0	0	0	0	0.469	0	0	0
autumn	2012	3	1	DO_2004	3	0	0	0.667	0	0.731	0	0	0	0	0	0
autumn	2012	4	1	DO_2004	4	0	0	0	0	0.083	0	0	0	0	0	1.548
autumn	2012	5	2	HE_2004	1	0.383	0	0	0	0.142	0.044	0	0.158	0	0	0
autumn	2012	6	2	HE_2004	2	0	0	0	0	0.201	0	0	0	0	0	0
autumn	2012	7	2	HE_2004	3	2.978	0	0	0	0	0	0	0.141	0	0	0
autumn	2012	8	2	HE_2004	4	0	0	0	0	0.63	0	0	0.452	0	0	0
autumn	2012	9	3	DO_2005	1	2.032	0.271	0.807	0.168	0.291	0	0	0.917	0	0	0
autumn	2012	10	3	DO_2005	2	0.496	0.766	0.23	0	0.237	0.0216	0	2.034	0	0	0
autumn	2012	11	3	DO_2005	3	1.18	0.302	0.76	0	1.871	0.076	0	1.131	0	0	0
autumn	2012	12	3	DO_2005	4	0.419	0.225	2.022	0	0.334	0	0	0.595	0	0	0
autumn	2012	13	4	DO_2007	1	0.957	0	0	0	0	0	0	0	0	0	0.229
autumn	2012	14	4	DO_2007	2	0.461	0	0	0	0.148	0	0	0.125	0	0	2.551
autumn	2012	15	4	DO_2007	3	0	0	0	0	0.254	0	0	0	0	0	0
autumn	2012	16	4	DO_2007	4	1.534	0	0	0	0.226	0	0	0	0	0	1.698
autumn	2012	17	5	EF_2007	1	1.019	0	0	0	0	0	0	0.668	0.403	0.086	0
autumn	2012	18	5	EF_2007	2	3.21	0	0	0	0	0	0	0	0	0	0
autumn	2012	19	5	EF_2007	3	9.144	0	0	0	0	0	0	0.521	3.217	0	0
autumn	2012	20	5	EF_2007	4	5.253	0	0	0	0	0	0	0.407	0	0	0
autumn	2012	21	6	PA_2007	1	7.019	0	0	0	0	0	0	0.823	0	0	0
autumn	2012	22	6	PA_2007	2	4.351	0	0	0	0	0	0	0.396	0	0	0
autumn	2012	23	6	PA_2007	3	20.376	0	0	0	0	0	0	0.299	0	0	0
autumn	2012	24	6	PA_2007	4	5.394	0	0	0	0	0	0	0	0	0	0
autumn	2012	25	7	DO_2009	1	0.172	0	0	0	0	0	0	0.059	0	0	0
autumn	2012	26	7	DO_2009	2	3.618	0	0	0	0.4	0	0	0.148	0	0	0
autumn	2012	27	7	DO_2009	3	3.355	0	0	0	0.538	0	0	0	0	0	0
autumn	2012	28	7	DO_2009	4	0	0	0	0	0.107	0	0	0	0	0	0
autumn	2012	29	8	EF_2009	1	1.251	0	0	0	0	0	0	0	0	0	0
autumn	2012	30	8	EF_2009	2	0	0	0	0	0	0	0	0	0	0	0
autumn	2012	31	8	EF_2009	3	0	0	0	0	0	0	0	0	0	0	0
autumn	2012	32	8	EF_2009	4	0	0	0	0	0	0	0	0	0	0	0
autumn	2012	33	9	PO_2009	1	1.772	0	0	0	0	0	0	1.166	0	0	0
autumn	2012	34	9	PO_2009	2	0.509	0	0	0	0.383	0	0	2.83	0	0	0
autumn	2012	35	9	PO_2009	3	0	0	0	0	0.391	0	0	0.888	0	0	0
autumn	2012	36	9	PO_2009	4	0	0	0	0	0.788	0	0	0.732	0	0	0
autumn	2012	37	10	EF_2011	1	0	0	0	0	0.323	0	0	0.149	0	0	0
autumn	2012	38	10	EF_2011	2	0	0	0	0	0	0	0	0	0	0	0
autumn	2012	39	10	EF_2011	3	0	0	0	0	0	0	0	0	0	0	0
autumn	2012	40	10	EF_2011	4	0	0	0	0	0	0	0	0.022	0	0	0
autumn	2012	41	11	ND_2011	1	0	0	0	0	0	0	0	0	0	0	0
autumn	2012	42	11	ND_2011	2	0	0	0	0	0.304	0	0	0	0	0	0
autumn	2012	43	11	ND_2011	3	0.386	0.18	0	0	0.371	0	0	0	0	0	0
autumn	2012	44	11	ND_2011	4	1.031	0	0.379	0	0.349	0	0	0.029	0	0	0
autumn	2012	45	12	RO_2011	1	0	0	0	0	0	0	0	0	0	0	0
autumn	2012	46	12	RO_2011	2	0.259	0	0	0	0	0	0	0	0	0	0
autumn	2012	47	12	RO_2011	3	0	0	0	0	0	0	0	0	0	0	0
autumn	2012	48	12	RO_2011	4	0	0	0	0	0	0	0	0	0	0	0
autumn	2012	49	13	DO_Mais	1	0.543	0	0	0	0	0	0	0.555	0	0	0
autumn	2012	50	13	DO_Mais	2	0.645	0	0	0	0	0	0	0	0	0	0
autumn	2012	51	13	DO_Mais	3	0	0	0	0	0	0	0	0	0	0	0
autumn	2012	52	13	DO_Mais	4	0	0	0	0	0.289	0	0	0	0	0	0
autumn	2012	53	14	ND_Mais	1	0.725	0	0	0	0	0	0	0.537	0	0	0
autumn	2012	54	14	ND_Mais	2	0	0	0	0	0	0	0	0	0	0	0
autumn	2012	55	14	ND_Mais	3	0	0	0	0	0	0	0	0	0	0	0
autumn	2012	56	14	ND_Mais	4	0	0	0	0	0	0	0	0	0	0	0
autumn	2012	57	15	RO_Mais	1	0	0	0	0	0	0	0	0	0	0	0
autumn	2012	58	15	RO_Mais	2	0	0	0	0	0	0	0	0	0	0	0
autumn	2012	59	15	RO_Mais	3	0	0	0	0	0	0	0	0	0	0	0
autumn	2012	60	15	RO_Mais	4	0	0	0	0	0	0	0	0	0	0	0
spring	2013	61	1	DO_2004	1	3.2439	0	0	0	0	0	0	0	0	0	2.0268
spring	2013	62	1	DO_2004	2	0.7423	0	0	0	0.3419	0.048	0	0	0	0	0
spring	2013	63	1	DO_2004	3	1.7183	0	0	0	0	0	0	0.5078	0	0	0
spring	2013	64	1	DO_2004	4	1.7968	0	0	0	0	0	0	0	0	0	0
spring	2013	65	2	HE_2004	1	0	0	0	0	1.338	0.4723	0	0	0	0	0
spring	2013	66	2	HE_2004	2	0.2126	0	0	0	0.7956	0	0	0.0257	0	0	0
spring	2013	67	2	HE_2004	3	0	0	0	0	0	0	0	0	0	0	0
spring	2013	68	2	HE_2004	4	0.3622	0	0	0	0.1743	0.1657	0	0.0532	0	0	0
spring	2013	69	3	DO_2005	1	2.0329	0.3153	4.0995	0.1534	6.9032	1.3367	0	4.2014	0	0	1.9367
spring	2013	70	3	DO_2005	2	2.2104	2.152	2.36	0.7267	8.6114	2.4105	0	4.0918	0	0	0
spring	2013	71	3	DO_2005	3	2.1555	2.0632	5.1227	0.2642	6.8167	1.3191	0	2.2236	1.0223	0	0.9384
spring	2013	72	3	DO_2005	4	4.4564	3.4567	2.3574	1.9651	4.5778	1.5404	0	2.0886	0	0	0.2971
spring	2013	73	4	DO_2007	1	2.5333	0	0	0	1.0182	0	0	0.4641	0	0	1.372
spring	2013	74	4	DO_2007	2	3.3532	1.5917	0	0	0.3652	0.2322	0	0	0	0	0
spring	2013	75	4	DO_2007	3	2.7659	0.6644	0	0	0	0	0	0.0341	0	0	0
spring	2013	76	4	DO_2007	4	1.4326	2.1455	0	0	0	0	0	0	0	0	0.9551
spring	2013	77	5	EF_2007	1	4.518	0	0	0	0	0	0	0.8764	0	0	0
spring	2013	78	5	EF_2007	2	4.8371	0	0	0	0	0	0	0	0	0	0
spring	2013	79	5	EF_2007	3	3.7582	1.317	0	0	0	0	0	0	0	0	0
spring	2013	80	5	EF_2007	4	1.9	2.2419	0	0	0	0	0	0.125	0	0	0
spring	2013	81	6	PA_2007	1	12.6253	2.2715	0	0	0	0	0	0.1899	0	0	0
spring	2013	82	6	PA_2007	2	9.0162	0.9489	0	0	0.1641	0	0	0.7379	0	0	0
spring	2013	83	6	PA_2007	3	11.6086	0.3124	0	0	0.1312	0	0	1.5455	0	0	0
spring	2013	84	6	PA_2007	4	14.047	0	0	0	0.2894	0.0964	0	0.8051	0	0	0
spring	2013	85	7	DO_2009	1	0.8571	0	0	0	0.404	0	0	0.2619	0	0	0
spring	2013	86	7	DO_2009	2	0	1.0754	0	0	1.7951	0.2188	0	0.0369	0	0	0
spring	2013	87	7	DO_2009	3	3.1418	0.1458	0	0	0	0	0	0	0	0	0
spring	2013	88	7	DO_2009	4	5.1313	0	0	0	0	0	0	0	0	0	0
spring	2013	89	8	EF_2009	1	0	0	0	0	0	0	0	0	0	0	0
spring	2013	90	8	EF_2009	2	0	0	0	0	0	0	0	0	0	0	0
spring	2013	91	8	EF_2009	3	0	0	0	0	0	0	0	0	0	0	0
spring	2013	92	8	EF_2009	4	6.0955	0	0	0	0	0	0	0.0533	0	0	0
spring	2013	93	9	PO_2009	1	1.0989	0	0.616	0	0.236	0.7593	0	0.2039	0	0	0
spring	2013	94	9	PO_2009	2	0.5898	0	0	0	0	0.173	0	0.984	0	0	0
spring	2013	95	9	PO_2009	3	2.0883	0	0	0	0	0	0	0.1449	0	0	0
spring	2013	96	9	PO_2009	4	1.4942	0	0	0.2827	0.3975	0	0	0.2358	0	0	0
spring	2013	97	10	EF_2011	1	1.7658	0	0	0	0.4231	0.9306	0	0.2449	0	0	0
spring	2013	98	10	EF_2011	2	0	0	0	0	1.9392	0	0	0.0922	0	0	0
spring	2013	99	10	EF_2011	3	0	0	0	0	0.683	0.096	0	0.1639	0	0	0
spring	2013	100	10	EF_2011	4	0	0	0	0	0	0.0912	0	0.0466	0	0	0
spring	2013	101	11	ND_2011	1	1.5301	0	0	0	0	0	0	0.0563	0	0	0
spring	2013	102	11	ND_2011	2	0.5637	0	0	0	0.2217	0	0	0.0167	0	0	0
spring	2013	103	11	ND_2011	3	0.5717	0	0	0	0.2654	0	0	0	0	0	0
spring	2013	104	11	ND_2011	4	0.7315	0	0	0	0	0	0	0.0986	0	0	0
spring	2013	105	12	RO_2011	1	0	0	0	0	0	0	0	0	0	0	0
spring	2013	106	12	RO_2011	2	0.8774	0	0	0	0	0	0	0	0	0	0
spring	2013	107	12	RO_2011	3	0	0	0	0	0	0	0	0	0	0	0
spring	2013	108	12	RO_2011	4	0.2717	0	0	0	0	0	0	0	0	0	0
spring	2013	109	16	DO_MaisII	1	0	0	0.4912	0	0.6251	0	0	1.5608	0	0	0
spring	2013	110	16	DO_MaisII	2	1.6286	0	0.5747	0	0.424	0	0	0.535	0	0	0
spring	2013	111	16	DO_MaisII	3	0.3405	0	1.2245	0	1.3715	0	0	0.8474	0	0	0
spring	2013	112	16	DO_MaisII	4	1.0484	0	0.2398	0	1.7441	0.0851	0	1.7015	0	0	0
spring	2013	113	17	PA_Mais	1	0	0	0	0	0	0	0	0	0	0	0
spring	2013	114	17	PA_Mais	2	0	0	0	0	0	0	0	0	0	0	0
spring	2013	115	17	PA_Mais	3	0	0	0	0	0	0	0	0	0	0	0
spring	2013	116	17	PA_Mais	4	0	0	0	0	0	0	0	0	0	0	0
spring	2013	117	18	RO_MaisII	1	0	0	0.4003	0	0	0	0	0	0	0	0
spring	2013	118	18	RO_MaisII	2	0	0	0	0	0	0	0	0.1114	0	0	0
spring	2013	119	18	RO_MaisII	3	0	0	0.9076	0.2157	0	0	0	0	0	0	0
spring	2013	120	18	RO_MaisII	4	0	0	0	0	0	0	0	0	0	0	0
autumn	2013	121	1	DO_2004	1	0	0	0	0	0.3213	0	0	0.0517	2.6993	0	0
autumn	2013	122	1	DO_2004	2	0	0	0	0	0	0	0	0.2284	0	0	0
autumn	2013	123	1	DO_2004	3	1.4753	0	0	0	0	0	0	0.3841	0	0	0
autumn	2013	124	1	DO_2004	4	2.5036	0	0	0	0	0	0	0.449	5.3321	0	0
autumn	2013	125	2	HE_2004	1	1.8128	0.55	0	0	0.2325	0	0	0.1291	0	0	0
autumn	2013	126	2	HE_2004	2	2.4715	0	0	0	1.5551	0	0	0.2913	0	0	0
autumn	2013	127	2	HE_2004	3	0	0	0	0	0.1504	0	0	0.108	0	0	0
autumn	2013	128	2	HE_2004	4	1.0643	0	0	0	1.1735	0	0	0.4203	0	0	0
autumn	2013	129	3	DO_2005	1	2.9244	0	0.5598	0	0.2677	0	0	1.7676	0	0	0
autumn	2013	130	3	DO_2005	2	5.7156	0	4.2651	0	2.676	0	0	5.0305	0	0	0
