WRB	BO_Syst	soty	crop	pH	mc	cn	sand	silt	clay	ata1	atb1	hum1	ats1	prec1	rad1	ata2	atb2	hum2	ats2	prec2	rad2
Mollic_Leptosol	BB-RR	uuT	Silphie	5.29	13.14	8.33	10.80	55.20	34.00	16.95	17.48	67.48	18.98	1.85	3848.80	16.29	16.58	69.24	16.55	11.20	4130.00
Mollic_Leptosol	BB-RR	uuT	Silphie	5.29	13.14	8.33	10.80	55.20	34.00	16.95	17.48	67.48	18.98	1.85	3848.80	16.29	16.58	69.24	16.55	11.20	4130.00
Mollic_Leptosol	BB-RR	uuT	Silphie	5.29	13.14	8.33	10.80	55.20	34.00	16.95	17.48	67.48	18.98	1.85	3848.80	16.29	16.58	69.24	16.55	11.20	4130.00
Mollic_Leptosol	BB-RR	uuT	Silphie	5.29	13.14	8.33	10.80	55.20	34.00	16.95	17.48	67.48	18.98	1.85	3848.80	16.29	16.58	69.24	16.55	11.20	4130.00
Terra_Fusca	CFn	uT	Silphie	7.01	15.54	8.98	12.30	50.40	37.30	9.03	9.69	78.81	11.66	2.28	2496.87	9.50	9.14	76.25	9.59	0.00	2299.00
Terra_Fusca	CFn	uT	Silphie	7.01	15.54	8.98	12.30	50.40	37.30	9.03	9.69	78.81	11.66	2.28	2496.87	9.50	9.14	76.25	9.59	0.00	2299.00
Terra_Fusca	CFn	uT	Silphie	7.01	15.54	8.98	12.30	50.40	37.30	9.03	9.69	78.81	11.66	2.28	2496.87	9.50	9.14	76.25	9.59	0.00	2299.00
Terra_Fusca	CFn	uT	Silphie	7.01	15.54	8.98	12.30	50.40	37.30	9.03	9.69	78.81	11.66	2.28	2496.87	9.50	9.14	76.25	9.59	0.00	2299.00
Mollic_Leptosol	BB-RR	uuT	Silphie	4.85	14.09	10.95	6.10	63.00	30.90	16.95	17.48	67.48	18.98	1.85	3848.80	16.29	16.58	69.24	16.55	11.20	4130.00
Mollic_Leptosol	BB-RR	uuT	Silphie	4.85	14.09	10.95	6.10	63.00	30.90	16.95	17.48	67.48	18.98	1.85	3848.80	16.29	16.58	69.24	16.55	11.20	4130.00
Mollic_Leptosol	BB-RR	uuT	Silphie	4.85	14.09	10.95	6.10	63.00	30.90	16.95	17.48	67.48	18.98	1.85	3848.80	16.29	16.58	69.24	16.55	11.20	4130.00
Mollic_Leptosol	BB-RR	uuT	Silphie	4.85	14.09	10.95	6.10	63.00	30.90	16.95	17.48	67.48	18.98	1.85	3848.80	16.29	16.58	69.24	16.55	11.20	4130.00
Mollic_Leptosol	BB-RR	uuT	Silphie	6.80	12.23	9.16	7.20	63.20	29.60	17.26	17.76	66.73	19.15	1.47	3918.60	14.78	14.84	71.10	16.25	0.00	3329.00
Mollic_Leptosol	BB-RR	uuT	Silphie	6.80	12.23	9.16	7.20	63.20	29.60	17.26	17.76	66.73	19.15	1.47	3918.60	14.78	14.84	71.10	16.25	0.00	3329.00
Mollic_Leptosol	BB-RR	uuT	Silphie	6.80	12.23	9.16	7.20	63.20	29.60	17.26	17.76	66.73	19.15	1.47	3918.60	14.78	14.84	71.10	16.25	0.00	3329.00
Mollic_Leptosol	BB-RR	uuT	Silphie	6.80	12.23	9.16	7.20	63.20	29.60	17.26	17.76	66.73	19.15	1.47	3918.60	14.78	14.84	71.10	16.25	0.00	3329.00
