ID	field.ID	hole
1	1	1
2	1	2
3	1	3
4	1	4
5	2	1
6	2	2
7	2	3
8	2	4
9	3	1
10	3	2
11	3	3
12	3	4
13	4	1
14	4	2
15	4	3
16	4	4
17	5	1
18	5	2
19	5	3
20	5	4
21	6	1
22	6	2
23	6	3
24	6	4
25	7	1
26	7	2
27	7	3
28	7	4
29	8	1
30	8	2
31	8	3
32	8	4
33	9	1
34	9	2
35	9	3
36	9	4
37	10	1
38	10	2
39	10	3
40	10	4
41	11	1
42	11	2
43	11	3
44	11	4
45	12	1
46	12	2
47	12	3
48	12	4
49	13	1
50	13	2
51	13	3
52	13	4
53	14	1
54	14	2
55	14	3
56	14	4
57	15	1
58	15	2
59	15	3
60	15	4
61	1	1
62	1	2
63	1	3
64	1	4
65	2	1
66	2	2
67	2	3
68	2	4
69	3	1
70	3	2
71	3	3
72	3	4
73	4	1
74	4	2
75	4	3
76	4	4
77	5	1
78	5	2
79	5	3
80	5	4
81	6	1
82	6	2
83	6	3
84	6	4
85	7	1
86	7	2
87	7	3
88	7	4
89	8	1
90	8	2
91	8	3
92	8	4
93	9	1
94	9	2
95	9	3
96	9	4
97	10	1
98	10	2
99	10	3
100	10	4
101	11	1
102	11	2
103	11	3
104	11	4
105	12	1
106	12	2
107	12	3
108	12	4
109	16	1
110	16	2
111	16	3
112	16	4
113	17	1
114	17	2
115	17	3
116	17	4
117	18	1
118	18	2
119	18	3
120	18	4
121	1	1
122	1	2
123	1	3
124	1	4
125	2	1
126	2	2
127	2	3
128	2	4
129	3	1
130	3	2
131	3	3
132	3	4
133	4	1
134	4	2
135	4	3
136	4	4
137	5	1
138	5	2
139	5	3
140	5	4
141	6	1
142	6	2
143	6	3
144	6	4
145	7	1
146	7	2
147	7	3
148	7	4
149	8	1
150	8	2
151	8	3
152	8	4
153	9	1
154	9	2
155	9	3
156	9	4
157	10	1
158	10	2
159	10	3
160	10	4
161	11	1
162	11	2
163	11	3
164	11	4
165	12	1
166	12	2
167	12	3
168	12	4
169	16	1
170	16	2
171	16	3
172	16	4
173	17	1
174	17	2
175	17	3
176	17	4
177	18	1
178	18	2
179	18	3
180	18	4
