age_class	age	y_est	samcam	season	year	date
E_Sp_old	8	2004	1	autumn	2012	18.09.2012
E_Sp_old	8	2004	1	autumn	2012	18.09.2012
E_Sp_old	8	2004	1	autumn	2012	18.09.2012
E_Sp_old	8	2004	1	autumn	2012	18.09.2012
E_Sp_old	8	2004	1	autumn	2012	17.10.2012
E_Sp_old	8	2004	1	autumn	2012	17.10.2012
E_Sp_old	8	2004	1	autumn	2012	17.10.2012
E_Sp_old	8	2004	1	autumn	2012	17.10.2012
E_Sp_old	7	2005	1	autumn	2012	18.09.2012
E_Sp_old	7	2005	1	autumn	2012	18.09.2012
E_Sp_old	7	2005	1	autumn	2012	18.09.2012
E_Sp_old	7	2005	1	autumn	2012	18.09.2012
D_Sp_int2	5	2007	1	autumn	2012	17.09.2012
D_Sp_int2	5	2007	1	autumn	2012	17.09.2012
D_Sp_int2	5	2007	1	autumn	2012	17.09.2012
D_Sp_int2	5	2007	1	autumn	2012	17.09.2012
D_Sp_int2	5	2007	1	autumn	2012	16.10.2012
D_Sp_int2	5	2007	1	autumn	2012	16.10.2012
D_Sp_int2	5	2007	1	autumn	2012	16.10.2012
D_Sp_int2	5	2007	1	autumn	2012	16.10.2012
D_Sp_int2	5	2007	1	autumn	2012	19.09.2012
D_Sp_int2	5	2007	1	autumn	2012	19.09.2012
D_Sp_int2	5	2007	1	autumn	2012	19.09.2012
D_Sp_int2	5	2007	1	autumn	2012	19.09.2012
C_Sp_int1	3	2009	1	autumn	2012	17.09.2012
C_Sp_int1	3	2009	1	autumn	2012	17.09.2012
C_Sp_int1	3	2009	1	autumn	2012	17.09.2012
C_Sp_int1	3	2009	1	autumn	2012	17.09.2012
C_Sp_int1	3	2009	1	autumn	2012	16.10.2012
C_Sp_int1	3	2009	1	autumn	2012	16.10.2012
C_Sp_int1	3	2009	1	autumn	2012	16.10.2012
C_Sp_int1	3	2009	1	autumn	2012	16.10.2012
C_Sp_int1	3	2009	1	autumn	2012	23.10.2012
C_Sp_int1	3	2009	1	autumn	2012	23.10.2012
C_Sp_int1	3	2009	1	autumn	2012	23.10.2012
C_Sp_int1	3	2009	1	autumn	2012	23.10.2012
B_Sp_young	1	2011	1	autumn	2012	16.10.2012
B_Sp_young	1	2011	1	autumn	2012	16.10.2012
B_Sp_young	1	2011	1	autumn	2012	16.10.2012
B_Sp_young	1	2011	1	autumn	2012	16.10.2012
B_Sp_young	1	2011	1	autumn	2012	08.11.2012
B_Sp_young	1	2011	1	autumn	2012	08.11.2012
B_Sp_young	1	2011	1	autumn	2012	08.11.2012
B_Sp_young	1	2011	1	autumn	2012	08.11.2012
B_Sp_young	1	2011	1	autumn	2012	23.10.2012
B_Sp_young	1	2011	1	autumn	2012	23.10.2012
B_Sp_young	1	2011	1	autumn	2012	23.10.2012
B_Sp_young	1	2011	1	autumn	2012	23.10.2012
A_Cm	0	2012	1	autumn	2012	18.09.2012
A_Cm	0	2012	1	autumn	2012	18.09.2012
A_Cm	0	2012	1	autumn	2012	18.09.2012
A_Cm	0	2012	1	autumn	2012	18.09.2012
A_Cm	0	2012	1	autumn	2012	15.10.2012
A_Cm	0	2012	1	autumn	2012	15.10.2012
A_Cm	0	2012	1	autumn	2012	15.10.2012
A_Cm	0	2012	1	autumn	2012	15.10.2012
A_Cm	0	2012	1	autumn	2012	23.10.2012
A_Cm	0	2012	1	autumn	2012	23.10.2012
A_Cm	0	2012	1	autumn	2012	23.10.2012
A_Cm	0	2012	1	autumn	2012	23.10.2012
E_Sp_old	9	2004	2	spring	2013	15.04.2013
E_Sp_old	9	2004	2	spring	2013	15.04.2013
E_Sp_old	9	2004	2	spring	2013	15.04.2013
E_Sp_old	9	2004	2	spring	2013	15.04.2013
E_Sp_old	9	2004	2	spring	2013	24.04.2013
E_Sp_old	9	2004	2	spring	2013	24.04.2013
E_Sp_old	9	2004	2	spring	2013	24.04.2013
E_Sp_old	9	2004	2	spring	2013	24.04.2013
E_Sp_old	8	2005	2	spring	2013	15.04.2013
E_Sp_old	8	2005	2	spring	2013	15.04.2013
E_Sp_old	8	2005	2	spring	2013	15.04.2013
E_Sp_old	8	2005	2	spring	2013	15.04.2013
D_Sp_int2	6	2007	2	spring	2013	16.04.2013
D_Sp_int2	6	2007	2	spring	2013	16.04.2013
D_Sp_int2	6	2007	2	spring	2013	16.04.2013
D_Sp_int2	6	2007	2	spring	2013	16.04.2013
D_Sp_int2	6	2007	2	spring	2013	23.04.2013
D_Sp_int2	6	2007	2	spring	2013	23.04.2013
D_Sp_int2	6	2007	2	spring	2013	23.04.2013
D_Sp_int2	6	2007	2	spring	2013	23.04.2013
D_Sp_int2	6	2007	2	spring	2013	17.04.2013
D_Sp_int2	6	2007	2	spring	2013	17.04.2013
D_Sp_int2	6	2007	2	spring	2013	17.04.2013
D_Sp_int2	6	2007	2	spring	2013	17.04.2013
C_Sp_int1	4	2009	2	spring	2013	16.04.2013
C_Sp_int1	4	2009	2	spring	2013	16.04.2013
C_Sp_int1	4	2009	2	spring	2013	16.04.2013
C_Sp_int1	4	2009	2	spring	2013	16.04.2013
C_Sp_int1	4	2009	2	spring	2013	23.04.2013
C_Sp_int1	4	2009	2	spring	2013	23.04.2013
C_Sp_int1	4	2009	2	spring	2013	23.04.2013
C_Sp_int1	4	2009	2	spring	2013	23.04.2013
C_Sp_int1	4	2009	2	spring	2013	10.04.2013
C_Sp_int1	4	2009	2	spring	2013	10.04.2013
C_Sp_int1	4	2009	2	spring	2013	10.04.2013
C_Sp_int1	4	2009	2	spring	2013	10.04.2013
B_Sp_young	2	2011	2	spring	2013	23.04.2013
B_Sp_young	2	2011	2	spring	2013	23.04.2013
B_Sp_young	2	2011	2	spring	2013	23.04.2013
