;hole;field;field.ID;samcam;season;year;weights;species;;;comment
1;1;DO_2004;1;1;autumn;2012;NA;A.caliginosa;;;Dummy
2;2;DO_2004;1;1;autumn;2012;NA;A.caliginosa;;;Dummy
3;3;DO_2004;1;1;autumn;2012;NA;A.caliginosa;;;Dummy
4;4;DO_2004;1;1;autumn;2012;NA;A.caliginosa;;;Dummy
5;1;HE_2004;2;1;autumn;2012;NA;A.caliginosa;;;Dummy
6;2;HE_2004;2;1;autumn;2012;NA;A.caliginosa;;;Dummy
7;3;HE_2004;2;1;autumn;2012;NA;A.caliginosa;;;Dummy
8;4;HE_2004;2;1;autumn;2012;NA;A.caliginosa;;;Dummy
9;1;DO_2005;3;1;autumn;2012;NA;A.caliginosa;;;Dummy
10;2;DO_2005;3;1;autumn;2012;NA;A.caliginosa;;;Dummy
11;3;DO_2005;3;1;autumn;2012;NA;A.caliginosa;;;Dummy
12;4;DO_2005;3;1;autumn;2012;NA;A.caliginosa;;;Dummy
13;1;DO_2007;4;1;autumn;2012;NA;A.caliginosa;;;Dummy
14;2;DO_2007;4;1;autumn;2012;NA;A.caliginosa;;;Dummy
15;3;DO_2007;4;1;autumn;2012;NA;A.caliginosa;;;Dummy
16;4;DO_2007;4;1;autumn;2012;NA;A.caliginosa;;;Dummy
17;1;EF_2007;5;1;autumn;2012;NA;A.caliginosa;;;Dummy
18;2;EF_2007;5;1;autumn;2012;NA;A.caliginosa;;;Dummy
19;3;EF_2007;5;1;autumn;2012;NA;A.caliginosa;;;Dummy
20;4;EF_2007;5;1;autumn;2012;NA;A.caliginosa;;;Dummy
21;1;PA_2007;6;1;autumn;2012;NA;A.caliginosa;;;Dummy
22;2;PA_2007;6;1;autumn;2012;NA;A.caliginosa;;;Dummy
23;3;PA_2007;6;1;autumn;2012;NA;A.caliginosa;;;Dummy
24;4;PA_2007;6;1;autumn;2012;NA;A.caliginosa;;;Dummy
25;1;DO_2009;7;1;autumn;2012;NA;A.caliginosa;;;Dummy
26;2;DO_2009;7;1;autumn;2012;NA;A.caliginosa;;;Dummy
27;3;DO_2009;7;1;autumn;2012;NA;A.caliginosa;;;Dummy
28;4;DO_2009;7;1;autumn;2012;NA;A.caliginosa;;;Dummy
29;1;EF_2009;8;1;autumn;2012;NA;A.caliginosa;;;Dummy
30;2;EF_2009;8;1;autumn;2012;NA;A.caliginosa;;;Dummy
31;3;EF_2009;8;1;autumn;2012;NA;A.caliginosa;;;Dummy
32;4;EF_2009;8;1;autumn;2012;NA;A.caliginosa;;;Dummy
33;1;PO_2009;9;1;autumn;2012;NA;A.caliginosa;;;Dummy
34;2;PO_2009;9;1;autumn;2012;NA;A.caliginosa;;;Dummy
35;3;PO_2009;9;1;autumn;2012;NA;A.caliginosa;;;Dummy
36;4;PO_2009;9;1;autumn;2012;NA;A.caliginosa;;;Dummy
37;1;EF_2011;10;1;autumn;2012;NA;A.caliginosa;;;Dummy
38;2;EF_2011;10;1;autumn;2012;NA;A.caliginosa;;;Dummy
39;3;EF_2011;10;1;autumn;2012;NA;A.caliginosa;;;Dummy
40;4;EF_2011;10;1;autumn;2012;NA;A.caliginosa;;;Dummy
41;1;ND_2011;11;1;autumn;2012;NA;A.caliginosa;;;Dummy
42;2;ND_2011;11;1;autumn;2012;NA;A.caliginosa;;;Dummy
43;3;ND_2011;11;1;autumn;2012;NA;A.caliginosa;;;Dummy
44;4;ND_2011;11;1;autumn;2012;NA;A.caliginosa;;;Dummy
45;1;RO_2011;12;1;autumn;2012;NA;A.caliginosa;;;Dummy
46;2;RO_2011;12;1;autumn;2012;NA;A.caliginosa;;;Dummy
