ID	ID.alu	SamplingCampaign	Altersstufe	Standort	field	Tara	FG	TG
1	1	F12	2004/05	Dornburg	DO_2004	6.04	25.6	27.17
2	2	F12	2004/05	Dornburg	DO_2004	5.97	27.01	28.76
3	3	F12	2004/05	Dornburg	DO_2004	5.92	28.48	29.68
4	4	F12	2004/05	Dornburg	DO_2004	6.39	27.44	29.04
5	5	F12	2004/05	Dornburg	DO_2004	6.02	27.21	28.52
6	6	F12	2004/05	Hessberg	HE_2004	5.71	26.35	26.17
7	7	F12	2004/05	Hessberg	HE_2004	6.48	26	26.9
8	8	F12	2004/05	Hessberg	HE_2004	5.92	27.04	27.05
9	9	F12	2004/05	Hessberg	HE_2004	5.95	28.44	28.07
10	10	F12	2004/05	Hessberg	HE_2004	6.07	25.75	26.5
11	11	F12	2004/05	Dornburg	DO_2005	6.4	26.73	29.32
12	12	F12	2004/05	Dornburg	DO_2005	6.34	26.46	28.8
13	13	F12	2004/05	Dornburg	DO_2005	6.4	25.34	27.6
14	14	F12	2004/05	Dornburg	DO_2005	5.65	25.78	26.89
15	15	F12	2004/05	Dornburg	DO_2005	5.89	26.81	28.66
16	16	F12	2007	Dornburg	DO_2007	5.8	27.03	28.21
17	17	F12	2007	Dornburg	DO_2007	6.07	26.74	27.99
18	18	F12	2007	Dornburg	DO_2007	6.28	27.12	28.94
19	19	F12	2007	Dornburg	DO_2007	6.09	25.83	27.61
20	20	F12	2007	Dornburg	DO_2007	6.03	24.84	26.37
21	21	F12	2007	Erfurt	EF_2007	6.06	27.25	29.37
22	22	F12	2007	Erfurt	EF_2007	6.3	23.54	26.04
23	23	F12	2007	Erfurt	EF_2007	6	24.27	26.67
24	24	F12	2007	Erfurt	EF_2007	6.04	27.02	28.83
25	25	F12	2007	Erfurt	EF_2007	6.46	26.83	29.65
26	26	F12	2007	Pahren	PA_2007	6.33	27.19	29.44
27	27	F12	2007	Pahren	PA_2007	6.35	24.77	27.21
28	28	F12	2007	Pahren	PA_2007	6.01	25.34	27.36
29	29	F12	2007	Pahren	PA_2007	5.67	25.54	27.36
30	30	F12	2007	Pahren	PA_2007	6.01	26.94	28.78
31	31	F12	2009	Dornburg	DO_2009	6.56	27.04	29.43
32	32	F12	2009	Dornburg	DO_2009	5.76	26.77	28
