"","field.ID","location","field","dgO","dgN","area","WRB","BO_Syst","soty","crop","age_class","age","y_est","samcam","season","year","date","pH","mc","cn","sand","silt","clay","ata1","atb1","hum1","ats1","prec1","rad1","ata2","atb2","hum2","ats2","prec2","rad2","soil_coverage","soil_tillage","fertilisation","weed_control","soil_compaction","compaction","ACA","ACH","ALO","ARO","END","LCA","LRU","LTR","LUM","OCY","OLA","UNK","ACA_BM","ACH_BM","ALO_BM","ARO_BM","END_BM","LCA_BM","LRU_BM","LTR_BM","LUM_BM","OCY_BM","OLA_BM","UNK_BM","anc","endo","epi","anc.bm","endo.bm","epi.bm","N","N.bm","SR","H","J","endad","endad.bm","ancad","ancad.bm"
"1","1","Dornburg","DO_2004",11.658097,51.003187,219,"Mollic_Leptosol","BB-RR","uuT","Silphie","E_Sp_old",8,2004,"1","autumn",2012,2012-09-18,5.29,15.1394511380314,8.33,10.8,55.2,34,16.95,17.48,67.48,18.98,1.85,3849,16.29,16.58,69.24,16.55,11.2,4130,"50x50","0","3","2","1","1",0,1,0,3,1,0,0,13,0,0,2,3,0,0.667,0,0.814,0.469,0,0,40.641,0,0,1.548,0,13,7,0,40.641,3.498,0,23,44.139,4,0.943045670002009,0.680263655721854,6,3.029,10,36.944
"5","2","Hessberg","HE_2004",10.78191,50.414685,285,"Terra_Fusca","CFn","uT","Silphie","E_Sp_old",8,2004,"1","autumn",2012,2012-10-17,7.01,18.4117150760342,8.98,12.3,50.4,37.3,9.03,9.69,78.81,11.66,2.28,2497,9.5,9.14,76.25,9.59,0,2299,"50x50","0","3","2","2","2",3,0,0,8,5,0,0,23,3,0,0,7,3.361,0,0,1.017,0.751,0,0,71.75,0.404,0,0,0,23,16,0,71.75,5.129,0,49,77.283,3,0.819074166798118,0.74555343613634,10,4.334,15,65.081
"9","3","Dornburg","DO_2005",11.656257,51.003652,921,"Mollic_Leptosol","BB-RR","uuT","Silphie","E_Sp_old",7,2005,"1","autumn",2012,2012-09-18,4.85,16.406525402625,10.95,6.1,63,30.9,16.95,17.48,67.48,18.98,1.85,3849,16.29,16.58,69.24,16.55,11.2,4130,"50x50","0","3","2","2","2",25,18,0,26,92,1,2,5,13,0,0,3,5.691,3.987,0,2.831,4.677,0.228,0.623,15.388,2.914,0,0,0,5,161,3,15.388,17.186,0.851,185,36.339,6,1.40039527671492,0.781575485306771,53,10.679,2,9.546
"13","4","Dornburg","DO_2007",11.657904,51.000938,2319,"Mollic_Leptosol","BB-RR","uuT","Silphie","D_Sp_int2",5,2007,"1","autumn",2012,2012-09-17,6.8,13.9466822471615,9.16,7.2,63.2,29.6,17.26,17.76,66.73,19.15,1.47,3919,14.78,14.84,71.1,16.25,0,3329,"50x50","0","3","2","2","2",4,0,0,3,1,0,0,8,0,0,3,0,2.952,0,0,0.628,0.125,0,0,37.783,0,0,4.478,0,8,11,0,37.783,8.183,0,19,45.966,4,1.29190600734467,0.931913195045408,10,8.058,8,37.783
"17","5","Erfurt","EF_2007",11.005805,50.98336,172,"Chernozem","TTn","uuT","Silphie","D_Sp_int2",5,2007,"1","autumn",2012,2012-10-16,7.22,27.3784114519858,12.36,12.7,60.2,27.1,11.85,10.47,75.37,12.79,1.12,2795,8.88,7.19,73.82,8.88,0,2836,"90x50","0","3","1","2","2",16,0,0,0,5,0,0,24,0,6,0,4,18.626,0,0,0,1.596,0,0,64.225,0,3.706,0,0,24,27,0,64.225,23.928,0,55,88.153,3,0.972439911716149,0.885152953181577,22,22.332,15,58.708
"21","6","Pahren","PA_2007",11.89876,50.653093,6676,"stagnic_Luvisol","SSn","ttU","Silphie","D_Sp_int2",5,2007,"1","autumn",2012,2012-09-19,5.87,19.9998164871796,8.59,28.9,51.1,20,15.8,16.82,69.39,16,2.15,4486,9.98,11.52,72.06,13.83,5,4376,"50x50","0","4","3","4","2",75,0,0,0,17,0,0,5,0,0,0,14,37.14,0,0,0,1.518,0,0,9.009,0,0,0,0,5,92,0,9.009,38.658,0,111,47.667,2,0.233791658706459,0.337290066617014,75,37.14,1,2.618
"25","7","Dornburg","DO_2009",11.657303,51.000746,1609,"Mollic_Leptosol","BB-RR","uuT","Silphie","C_Sp_int1",3,2009,"1","autumn",2012,2012-09-17,6.55,12.1832569626859,8.52,10.1,62.4,27.5,17.26,17.76,66.73,19.15,1.47,3919,14.78,14.84,71.1,16.25,0,3329,"50x50","0","3","2","2","2",8,0,0,7,3,0,0,4,0,0,0,1,7.145,0,0,1.045,0.207,0,0,13.931,0,0,0,0,4,18,0,13.931,8.397,0,23,22.328,3,1.06011893593984,0.964961840382344,15,8.19,2,11.205
"29","8","Erfurt","EF_2009",11.004722,50.981567,2818,"Chernozem","TTn","uuT","Silphie","C_Sp_int1",3,2009,"1","autumn",2012,2012-10-16,7.24,19.5020684113187,13.15,10.2,62.1,27.7,11.85,10.47,75.37,12.79,1.12,2795,8.88,7.19,73.82,8.88,0,2836,"90x50","0","3","1","3","2",1,0,0,0,0,0,0,4,0,0,0,0,1.251,0,0,0,0,0,0,21.369,0,0,0,0,4,1,0,21.369,1.251,0,5,22.62,2,0.500402423538188,0.721928094887362,1,1.251,3,21.261
"33","9","Poppenburg","PO_2009",9.780602,52.145969,120,"Haplic_Luvisol","LLn","tU","Silphie","C_Sp_int1",3,2009,"1","autumn",2012,2012-10-23,6.26,13.4796599493474,9.02,16.9,68.6,14.5,10.41,10.65,84.22,11.47,1.6,2006,9.86,10.29,97.45,11.98,0,472,"50x50","0","3","2","3","2",5,0,27,7,32,0,0,35,0,0,0,7,2.281,0,29.892,1.562,5.616,0,0,34.19,0,0,0,0,62,44,0,64.082,9.459,0,113,73.541,4,1.12712809131493,0.813051053893343,12,3.843,32,47.746
"37","10","Erfurt","EF_2011",10.999336,50.980493,9247,"Chernozem","TTn","uuT","Silphie","B_Sp_young",1,2011,"1","autumn",2012,2012-10-16,7.36,18.3496984506688,18.34,12.7,58,29.3,11.85,10.47,75.37,12.79,1.12,2795,8.88,7.19,73.82,8.88,0,2836,"90x50","0","3","4","4","2",0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0.323,0.171,0,0,9.96,0,0,0,0,2,3,0,9.96,0.494,0,5,10.454,2,0.636514168294813,0.918295834054489,1,0.323,2,9.96
"41","11","Niederdorla","ND_2011",10.399994,51.136251,9278,"Stagnic_Luvisol","SS-LL","tU","Silphie","B_Sp_young",1,2011,"1","autumn",2012,2012-11-08,6.77,30.7005890579352,8.82,10.1,69.6,20.3,7.11,6.75,89.54,7.86,1.13,1422,7.87,7.45,81.59,6.97,0,390,"50x50","0","2","4","4","3",4,1,0,5,1,0,0,5,0,0,0,1,1.597,0.379,0,1.024,0.029,0,0,25.097,0,0,0,0,5,11,0,25.097,3.029,0,17,28.126,4,1.26541309651417,0.912802599508472,9,2.82,5,25.097
"45","12","Ronneberg","RO_2011",9.609485,52.295013,1197,"Haplic_Luvisol","LLn","ttU","Silphie","B_Sp_young",1,2011,"1","autumn",2012,2012-10-23,5.3,18.9069093426482,9.86,10.4,75.1,14.5,11.81,11.41,82.77,12.03,3,2046,10.85,10.89,94.55,12.53,0,383,"60x60","0","4","4","5","3",1,0,0,0,0,0,0,4,0,0,0,0,0.259,0,0,0,0,0,0,19.786,0,0,0,0,4,1,0,19.786,0.259,0,5,20.045,2,0.500402423538188,0.721928094887362,1,0.259,4,19.786
