;"""df""";"""logLik""";"""AICc""";"""delta""";"""weight""";;;;
1/5/10;9;-240.7831432;500.62511;0;0.09278915;;;;
1;7;-243.1242653;500.8996934;0.274583391;0.080885779;;;;
1/2;8;-242.2048399;501.2517851;0.626675153;0.067829156;;;;
1/2/5;9;-241.6229528;502.3047291;1.679619151;0.040065681;;;;
1/2/4;10;-240.9091661;503.1201073;2.494997331;0.026651117;;;;
1/5/6/10;10;-241.2182795;503.7383341;3.113224152;0.019564518;;;;
1/8;8;-243.4809937;503.8040927;3.178982778;0.018931711;;;;
1/9;8;-243.5137824;503.86967;3.244559997;0.018321032;;;;
1/2/5/10;10;-241.3473203;503.9964158;3.371305801;0.017196;;;;
1/2/8;9;-242.5035996;504.0660227;3.440912743;0.016607815;;;;
1/4/10;10;-241.4435159;504.188807;3.563697044;0.015618892;;;;
1/5;8;-243.6913198;504.2247449;3.599634901;0.015340744;;;;
1/5/7/10;10;-241.4971746;504.2961243;3.671014296;0.014802892;;;;
1/5/9/10;10;-241.5109894;504.323754;3.698644001;0.014599798;;;;
1/10;8;-243.7417337;504.3255726;3.700462667;0.014586528;;;;
1/6;8;-243.8389904;504.5200861;3.894976105;0.013234693;;;;
1/7;8;-243.8588467;504.5597986;3.934688611;0.012974494;;;;
;;;;;;;;;
;;;;;;;;;
age_class;I(scl.ats1^2);offset(log(area));samcam;scl.ats1;scl.clay;scl.cn;scl.mc;scl.pH;scl.prec1
1;2;3;4;5;6;7;8;9;10
;;;;;;;;;
age_class;1;;;;;;;;
I(scl.ats1^2);2;;;;;;;;
offset(log(area));3;;;;;;;;
samcam;4;;;;;;;;
scl.ats1;5;;;;;;;;
scl.clay;6;;;;;;;;
scl.cn;7;;;;;;;;
scl.mc;8;;;;;;;;
scl.pH;9;;;;;;;;
scl.prec1;10;;;;;;;;
