;Estimate;Std. Error;t value
(Intercept);1.797108311;0.147931323;12.14826091
;;;
age_class.L;1.010262094;0.261888735;3.857600424
age_class.Q;-0.12845564;0.276923366;-0.463867105
age_class.C;-0.53836009;0.282582644;-1.905142091
age_class^4;-0.210810163;0.28800503;-0.731966948
;;;
samcam2;0.735781485;0.132828737;5.539324564
samcam3;0.433048165;0.100893698;4.292123026
;;;
;;;
I(scl.mc^2);0.132778481;0.044405434;2.990140379
;;;
scl.pH;0.294318422;0.074082569;3.972843073
;;;
;;;
;;;
;;;
scl.prec1;0.324443487;0.062045456;5.229125673
