"","df","logLik","AICc","delta","weight"
"1/2/3/4/10",10,-304.445069174792,630.191913497513,0,0.0322040430246761
"1/2/3/4",10,-304.445069174812,630.191913497552,3.9676706364844e-11,0.0322040430240372
"1/2/4",9,-305.615620821494,630.2900651724,0.0981516748869353,0.0306617566706822
"1/2/4/10",9,-305.615620821579,630.290065172569,0.098151675056215,0.030661756668087
"1/2/4/6",10,-304.513695225518,630.329165598965,0.13725210145185,0.0300681344162815
"1/2/4/6/10",10,-304.513695225523,630.329165598974,0.137252101461399,0.0300681344161379
"1/2/4/5/10",10,-304.626269469315,630.554314086559,0.36240058904616,0.0268668103788228
"1/2/4/5",10,-304.626269469376,630.554314086681,0.36240058916826,0.0268668103771825
"1/2/3/4/6/10",11,-303.596774061479,630.764976694386,0.573063196873136,0.0241808356950137
"1/2/3/4/6",11,-303.596774061578,630.764976694585,0.573063197072315,0.0241808356926056
"1/2/3/4/5/10",11,-303.70190623158,630.975241034589,0.783327537076161,0.0217677221206699
"1/2/3/4/5",11,-303.701906231732,630.975241034893,0.783327537380387,0.0217677221173588
"1/2/4/5/8",11,-303.808046756929,631.187522085287,0.995608587774541,0.019575674735977
"1/2/4/5/8/10",11,-303.808046757011,631.18752208545,0.995608587936886,0.019575674734388
"1/2/4/6/8",11,-303.814383377671,631.200195326771,1.00828182925784,0.0194520232893194
"1/2/4/6/8/10",11,-303.814383377674,631.200195326776,1.00828182926318,0.0194520232892674
"1/2/3",9,-306.159475278687,631.377774086786,1.18586058927315,0.0177993459066309
"1/2/3/10",9,-306.159475278748,631.377774086909,1.18586058939593,0.0177993459055382
"1/2/4/8",10,-305.207281094402,631.716337336733,1.52442383922005,0.0150274733848144
"1/2/4/8/10",10,-305.207281094429,631.716337336787,1.5244238392745,0.0150274733844052
"1/2/4/5/6",11,-304.131343821155,631.834116213738,1.64220271622503,0.0141680672393325
"1/2/4/5/6/10",11,-304.131343821159,631.834116213746,1.64220271623287,0.014168067239277
"1/2/3/4/6/7/9",13,-301.980894523531,632.1545601314,1.96264663388729,0.0120705510368994
